Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Волчихинская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700					
1	"Число избирателей, внесенных в список"	16672	2328	1740	2159	2416	513	1045	306	794	1035	776	381	349	601	505	803	805	116					
2	Число полученных избирательных бюллетеней	16065	2200	1700	2100	2300	500	1000	300	800	1000	750	335	315	600	500	750	800	115					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10150	1192	935	1168	1334	387	772	179	528	696	395	272	292	441	375	535	581	68					
5	"Число избирательных бюллетеней, выданных вне помещения"	569	50	61	38	51	23	39	17	35	25	21	24	22	45	17	40	50	11					
6	Число погашенных избирательных бюллетеней	5346	958	704	894	915	90	189	104	237	279	334	39	1	114	108	175	169	36					
7	Число избирательных бюллетеней в переносных ящиках	569	50	61	38	51	23	39	17	35	25	21	24	22	45	17	40	50	11					
8	Число бюллетеней в стационарных ящиках для голосования	10146	1192	935	1168	1330	387	772	179	528	696	395	272	292	441	375	535	581	68					
9	Число недействительных избирательных бюллетеней	113	16	13	5	12	5	8	3	13	5	1	4	5	5	5	5	7	1					
10	Число действительных избирательных бюллетеней	10602	1226	983	1201	1369	405	803	193	550	716	415	292	309	481	387	570	624	78					
11	Число полученных открепительных  удостоверений	185	20	20	20	20	5	10	5	10	15	10	5	5	10	5	10	10	5					
12	Число выданных открепительных удостоверений	29	1	4	5	9	2	1	0	2	0	1	2	2	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	1	4	1	1	1	0	0	1	0	1	1	1	0	2	2	1	0					
14	Число неиспользованных открепительных удостоверений	156	19	16	15	11	3	9	5	8	15	9	3	3	10	5	10	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	258	40	27	30	38	14	21	4	11	17	10	6	3	8	3	11	15	0					
		2.41%	3.22%	2.71%	2.49%	2.75%	3.41%	2.59%	2.04%	1.95%	2.36%	2.40%	2.03%	0.96%	1.65%	0.77%	1.91%	2.38%	0.00%					
19	. Малышкин Олег Александрович	350	42	25	31	32	6	34	17	21	25	14	4	15	17	13	19	31	4					
		3.27%	3.38%	2.51%	2.57%	2.32%	1.46%	4.19%	8.67%	3.73%	3.47%	3.37%	1.35%	4.78%	3.50%	3.32%	3.30%	4.91%	5.06%					
20	. Миронов Сергей Михайлович	60	7	5	5	6	3	5	3	3	5	1	1	4	2	3	5	2	0					
		0.56%	0.56%	0.50%	0.41%	0.43%	0.73%	0.62%	1.53%	0.53%	0.69%	0.24%	0.34%	1.27%	0.41%	0.77%	0.87%	0.32%	0.00%					
21	. Путин Владимир Владимирович	7469	878	696	867	982	332	530	128	337	485	280	243	232	334	284	387	410	64					
		69.71%	70.69%	69.88%	71.89%	71.11%	80.98%	65.35%	65.31%	59.86%	67.27%	67.31%	82.09%	73.89%	68.72%	72.45%	67.30%	64.98%	81.01%					
22	. Хакамада Ирина Муцуовна	146	22	19	19	22	2	12	2	5	6	4	4	2	2	7	8	9	1					
		1.36%	1.77%	1.91%	1.58%	1.59%	0.49%	1.48%	1.02%	0.89%	0.83%	0.96%	1.35%	0.64%	0.41%	1.79%	1.39%	1.43%	1.27%					
23	. Харитонов Николай Михайлович	2182	218	188	231	273	45	195	36	167	161	104	31	51	117	74	135	147	9					
		20.36%	17.55%	18.88%	19.15%	19.77%	10.98%	24.04%	18.37%	29.66%	22.33%	25.00%	10.47%	16.24%	24.07%	18.88%	23.48%	23.30%	11.39%					
																								
24	Против всех	137	19	23	18	16	3	6	3	6	17	2	3	2	1	3	5	10	0					
		1.28%	1.53%	2.31%	1.49%	1.16%	0.73%	0.74%	1.53%	1.07%	2.36%	0.48%	1.01%	0.64%	0.21%	0.77%	0.87%	1.58%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
