Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Знаменская городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
1	"Число избирателей, внесенных в списки"	26587	2225	2658	2111	2099	2793	2265	2151	3038	2873	2287	1245	842					
2	"Число бюллетеней, полученных участковыми комиссиями"	26010	2280	2400	2140	2100	2780	2280	2240	2770	2870	2170	1275	705					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	326	0	0	37	0	0	0	0	0	0	289	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14884	1281	1642	1174	1083	1399	1307	1216	1676	1623	738	1175	570					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	315	17	29	21	20	24	25	15	9	17	78	60	0					
6	Число погашенных бюллетеней	10485	982	729	908	997	1357	948	1009	1085	1230	1065	40	135					
7	Число бюллетеней в переносных ящиках для голосования	641	17	29	58	20	24	25	15	9	17	367	60	0					
8	Число бюллетеней в стационарных ящиках для голосования	14847	1274	1640	1170	1063	1399	1307	1216	1674	1622	738	1174	570					
9	Число недействительных бюллетеней	94	10	7	12	9	7	8	3	9	9	4	11	5					
10	Число действительных бюллетеней	15394	1281	1662	1216	1074	1416	1324	1228	1674	1630	1101	1223	565					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	437	35	35	40	20	20	25	25	45	30	31	60	71					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	292	29	18	16	16	15	22	19	32	22	18	19	66					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	14	19	11	12	9	5	10	15	10	12	10	12					
14	Число погашенных открепительных удостоверений	145	6	17	24	4	5	3	6	13	8	13	41	5					
15	Число открепительных удостоверений выданных ТИК	63	25	1	0	2	0	1	1	0	2	31	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	170	11	12	9	3	11	14	10	10	14	23	41	12					
		1.09%	0.85%	0.71%	0.73%	0.27%	0.77%	1.05%	0.81%	0.59%	0.85%	2.08%	3.32%	2.10%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	443	32	52	39	7	30	24	23	42	45	42	91	16					
		2.86%	2.47%	3.11%	3.17%	0.64%	2.10%	1.80%	1.86%	2.49%	2.74%	3.80%	7.37%	2.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	277	18	18	30	7	31	25	18	29	39	23	27	12					
		1.78%	1.39%	1.07%	2.44%	0.64%	2.17%	1.87%	1.46%	1.72%	2.37%	2.08%	2.18%	2.10%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	409	30	37	21	23	33	32	38	48	52	20	69	6					
		2.64%	2.32%	2.21%	1.71%	2.12%	2.31%	2.40%	3.08%	2.85%	3.17%	1.80%	5.59%	1.05%					
22	"5. ""За Русь Святую"""	62	8	9	4	5	11	4	2	7	6	3	3	0					
		0.40%	0.61%	0.53%	0.32%	0.46%	0.77%	0.30%	0.16%	0.41%	0.36%	0.27%	0.24%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	50	6	5	4	2	2	8	3	5	3	0	5	7					
		0.32%	0.46%	0.29%	0.32%	0.18%	0.14%	0.60%	0.24%	0.29%	0.18%	0.0%	0.40%	1.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	216	14	21	11	3	11	13	18	17	10	19	67	12					
		1.39%	1.08%	1.25%	0.89%	0.27%	0.77%	0.97%	1.46%	1.01%	0.61%	1.71%	5.42%	2.10%					
25	"8. ""Народно-республиканская партия России"""	23	2	2	1	3	0	2	1	1	0	5	5	1					
		0.14%	0.15%	0.11%	0.08%	0.27%	0.0%	0.15%	0.08%	0.05%	0.0%	0.45%	0.40%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	76	3	7	7	3	5	6	7	5	7	5	14	7					
		0.49%	0.23%	0.41%	0.57%	0.27%	0.35%	0.45%	0.56%	0.29%	0.42%	0.45%	1.13%	1.22%					
27	"10. ""Аграрная партия России"""	241	15	27	9	19	24	17	17	29	23	48	10	3					
		1.55%	1.16%	1.61%	0.73%	1.75%	1.68%	1.27%	1.38%	1.72%	1.40%	4.34%	0.81%	0.52%					
28	"11. ""Истинные патриоты России"""	35	4	6	1	3	1	0	1	2	3	9	3	2					
		0.22%	0.30%	0.35%	0.08%	0.27%	0.07%	0.0%	0.08%	0.11%	0.18%	0.81%	0.24%	0.35%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	320	21	46	37	15	37	25	26	43	47	10	7	6					
		2.06%	1.62%	2.75%	3.01%	1.38%	2.60%	1.87%	2.11%	2.55%	2.86%	0.90%	0.56%	1.05%					
30	"13. ""Демократическая партия России"""	46	0	4	6	5	4	2	4	3	3	5	6	4					
		0.29%	0.0%	0.23%	0.48%	0.46%	0.28%	0.15%	0.32%	0.17%	0.18%	0.45%	0.48%	0.70%					
31	"14. ""Великая Россия - Евразийский Союз"""	61	1	8	1	2	4	5	4	8	2	7	13	6					
		0.39%	0.07%	0.47%	0.08%	0.18%	0.28%	0.37%	0.32%	0.47%	0.12%	0.63%	1.05%	1.05%					
32	"15. ""Партия СЛОН"""	36	5	4	3	1	0	2	2	4	4	3	3	5					
		0.23%	0.38%	0.23%	0.24%	0.09%	0.0%	0.15%	0.16%	0.23%	0.24%	0.27%	0.24%	0.87%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1315	111	166	101	63	144	144	146	218	165	27	24	6					
		8.49%	8.59%	9.94%	8.22%	5.81%	10.11%	10.81%	11.86%	12.95%	10.06%	2.44%	1.94%	1.05%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	3	3	1	2	3	1	1	2	0	9	10	4					
		0.25%	0.23%	0.17%	0.08%	0.18%	0.21%	0.07%	0.08%	0.11%	0.0%	0.81%	0.81%	0.70%					
35	"18. ""ЛДПР"""	3134	251	323	222	180	233	242	213	290	322	334	344	180					
		20.23%	19.44%	19.35%	18.07%	16.62%	16.37%	18.16%	17.30%	17.23%	19.64%	30.22%	27.87%	31.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	157	14	17	17	10	11	9	16	26	14	7	11	5					
		1.01%	1.08%	1.01%	1.38%	0.92%	0.77%	0.67%	1.29%	1.54%	0.85%	0.63%	0.89%	0.87%					
37	"20. ""Политическая партия ""Единая Россия"""	5600	461	605	459	503	560	495	448	618	596	334	318	203					
		36.15%	35.70%	36.24%	37.37%	46.44%	39.35%	37.16%	36.39%	36.72%	36.36%	30.22%	25.76%	35.61%					
38	"21. ""Российская Конституционно-демократическая партия"""	29	1	6	5	2	2	1	0	2	1	0	1	8					
		0.18%	0.07%	0.35%	0.40%	0.18%	0.14%	0.07%	0.0%	0.11%	0.06%	0.0%	0.08%	1.40%					
39	"22. ""Развитие предпринимательства"""	46	3	4	2	1	2	3	2	10	7	1	7	4					
		0.29%	0.23%	0.23%	0.16%	0.09%	0.14%	0.22%	0.16%	0.59%	0.42%	0.09%	0.56%	0.70%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1598	194	144	149	139	168	172	142	162	150	88	68	22					
		10.31%	15.02%	8.62%	12.13%	12.83%	11.80%	12.91%	11.53%	9.62%	9.15%	7.96%	5.51%	3.85%					
																			
41	Против всех	1011	73	136	77	73	89	78	86	93	117	79	76	34					
		6.52%	5.65%	8.14%	6.27%	6.74%	6.25%	5.85%	6.98%	5.52%	7.13%	7.14%	6.15%	5.96%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
