Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Маловишерская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197					
1	"Число избирателей, внесенных в список"	16893	1408	1377	984	1048	2217	1555	751	2106	1647	903	462	203	375	383	214	228	373	261	253	145					
2	Число полученных избирательных бюллетеней	16612	1401	1358	967	1038	2206	1530	748	2117	1660	898	431	174	372	361	193	230	303	246	232	147					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7368	507	514	352	383	1063	648	216	1006	890	383	251	110	171	179	100	67	214	140	122	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	987	36	42	26	33	61	59	28	70	25	95	76	36	43	61	75	44	53	44	55	25					
6	Число погашенных избирательных бюллетеней	8257	858	802	589	622	1082	823	504	1041	745	420	104	28	158	121	18	119	36	62	55	70					
7	Число избирательных бюллетеней в переносных ящиках	987	36	42	26	33	61	59	28	70	25	95	76	36	43	61	75	44	53	44	55	25					
8	Число бюллетеней в стационарных ящиках для голосования	7367	507	514	352	383	1063	648	215	1006	890	383	251	110	171	179	100	67	214	140	122	52					
9	Число недействительных избирательных бюллетеней	44	3	3	3	3	7	5	1	6	6	2	0	0	2	0	0	1	0	0	2	0					
10	Число действительных избирательных бюллетеней	8310	540	553	375	413	1117	702	242	1070	909	476	327	146	212	240	175	110	267	184	175	77					
11	Число полученных открепительных  удостоверений	297	17	20	20	20	30	20	20	30	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	55	4	2	2	1	5	1	1	16	5	2	7	0	1	6	0	0	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	2	7	2	9	6	6	1	7	8	12	5	5	13	8	6	4	11	5	4	3					
14	Число неиспользованных открепительных удостоверений	242	13	18	18	19	25	19	19	14	5	8	3	10	9	4	10	10	9	9	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	220	14	13	9	17	42	25	8	43	13	6	6	0	2	2	3	2	6	2	3	4					
		2.63%	2.58%	2.34%	2.38%	4.09%	3.74%	3.54%	3.29%	4.00%	1.42%	1.26%	1.83%	0.00%	0.93%	0.83%	1.71%	1.80%	2.25%	1.09%	1.69%	5.19%					
19	. Малышкин Олег Александрович	183	11	19	7	6	31	15	5	24	19	12	5	5	1	3	3	4	2	5	3	3					
		2.19%	2.03%	3.42%	1.85%	1.44%	2.76%	2.12%	2.06%	2.23%	2.08%	2.51%	1.53%	3.42%	0.47%	1.25%	1.71%	3.60%	0.75%	2.72%	1.69%	3.90%					
20	. Миронов Сергей Михайлович	75	4	4	5	2	14	6	3	13	7	3	3	2	0	2	0	2	1	1	3	0					
		0.90%	0.74%	0.72%	1.32%	0.48%	1.25%	0.85%	1.23%	1.21%	0.77%	0.63%	0.92%	1.37%	0.00%	0.83%	0.00%	1.80%	0.37%	0.54%	1.69%	0.00%					
21	. Путин Владимир Владимирович	6465	429	428	288	305	780	523	200	761	744	415	264	128	190	196	152	90	225	143	139	65					
		77.39%	79.01%	76.98%	76.19%	73.32%	69.40%	73.97%	82.30%	70.72%	81.31%	86.82%	80.73%	87.67%	88.79%	81.67%	86.86%	81.08%	84.27%	77.72%	78.53%	84.42%					
22	. Хакамада Ирина Муцуовна	176	8	12	10	5	28	17	6	46	9	5	3	1	3	3	6	0	6	3	4	1					
		2.11%	1.47%	2.16%	2.65%	1.20%	2.49%	2.40%	2.47%	4.28%	0.98%	1.05%	0.92%	0.68%	1.40%	1.25%	3.43%	0.00%	2.25%	1.63%	2.26%	1.30%					
23	. Харитонов Николай Михайлович	995	64	65	49	67	161	99	17	151	106	31	42	10	14	32	10	11	24	19	19	4					
		11.91%	11.79%	11.69%	12.96%	16.11%	14.32%	14.00%	7.00%	14.03%	11.58%	6.49%	12.84%	6.85%	6.54%	13.33%	5.71%	9.91%	8.99%	10.33%	10.73%	5.19%					
																											
24	Против всех	196	10	12	7	11	61	17	3	32	11	4	4	0	2	2	1	1	3	11	4	0					
		2.35%	1.84%	2.16%	1.85%	2.64%	5.43%	2.40%	1.23%	2.97%	1.20%	0.84%	1.22%	0.00%	0.93%	0.83%	0.57%	0.90%	1.12%	5.98%	2.26%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
