Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Орловская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946					
1	"Число избирателей, внесенных в список"	12286	944	768	1071	1061	683	1033	1085	556	907	173	394	271	269	194	384	255	118	126	912	702	380					
2	Число полученных избирательных бюллетеней	12600	957	819	1068	1060	702	1051	1116	571	920	176	406	284	286	201	421	270	121	124	940	717	390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6852	495	431	541	512	333	548	591	281	519	100	263	207	180	136	296	173	69	82	473	348	274					
5	"Число избирательных бюллетеней, выданных вне помещения"	1142	85	43	50	86	45	77	71	96	42	31	60	19	43	36	26	43	21	16	150	83	19					
6	Число погашенных избирательных бюллетеней	4606	377	345	477	462	324	426	454	194	359	45	83	58	63	29	99	54	31	26	317	286	97					
7	Число избирательных бюллетеней в переносных ящиках	1142	85	43	50	86	45	77	71	96	42	31	60	19	43	36	26	43	21	16	150	83	19					
8	Число бюллетеней в стационарных ящиках для голосования	6850	495	431	541	512	333	547	591	281	519	99	263	207	180	136	296	173	69	82	473	348	274					
9	Число недействительных избирательных бюллетеней	63	6	3	3	6	3	1	6	3	10	1	2	3	2	1	3	0	0	0	4	5	1					
10	Число действительных избирательных бюллетеней	7929	574	471	588	592	375	623	656	374	551	129	321	223	221	171	319	216	90	98	619	426	292					
11	Число полученных открепительных  удостоверений	257	15	20	15	20	60	15	15	10	7	4	5	7	5	4	5	10	4	4	17	9	6					
12	Число выданных открепительных удостоверений	170	5	13	3	2	55	10	2	8	5	1	2	7	5	3	5	8	3	2	16	9	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	3	3	6	8	5	4	2	0	4	1	1	1	1	2	1	2	2	5	8	6	3					
14	Число неиспользованных открепительных удостоверений	87	10	7	12	18	5	5	13	2	2	3	3	0	0	1	0	2	1	2	1	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	1	0	2	0	0	2	1	0	1	0	0	0	1	3	0	0	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	339	35	28	36	26	9	32	31	15	27	4	5	6	10	1	18	3	5	8	21	17	2					
		4.24%	6.03%	5.91%	6.09%	4.35%	2.38%	5.13%	4.68%	3.98%	4.81%	3.08%	1.55%	2.65%	4.48%	0.58%	5.59%	1.39%	5.56%	8.16%	3.37%	3.94%	0.68%					
19	. Малышкин Олег Александрович	213	17	19	18	11	3	17	15	7	21	7	12	5	8	1	4	3	3	6	15	11	10					
		2.67%	2.93%	4.01%	3.05%	1.84%	0.79%	2.72%	2.27%	1.86%	3.74%	5.38%	3.72%	2.21%	3.59%	0.58%	1.24%	1.39%	3.33%	6.12%	2.41%	2.55%	3.41%					
20	. Миронов Сергей Михайлович	78	14	4	5	7	1	3	6	2	4	3	4	2	5	1	2	3	1	2	5	1	3					
		0.98%	2.41%	0.84%	0.85%	1.17%	0.26%	0.48%	0.91%	0.53%	0.71%	2.31%	1.24%	0.88%	2.24%	0.58%	0.62%	1.39%	1.11%	2.04%	0.80%	0.23%	1.02%					
21	. Путин Владимир Владимирович	5482	383	292	348	389	274	408	440	278	385	81	227	177	150	145	199	165	64	63	481	303	230					
		68.59%	66.03%	61.60%	58.88%	65.05%	72.49%	65.38%	66.47%	73.74%	68.63%	62.31%	70.28%	78.32%	67.26%	84.30%	61.80%	76.39%	71.11%	64.29%	77.21%	70.30%	78.50%					
22	. Хакамада Ирина Муцуовна	169	11	9	16	14	10	14	12	9	16	1	1	6	5	4	11	0	5	4	7	13	1					
		2.11%	1.90%	1.90%	2.71%	2.34%	2.65%	2.24%	1.81%	2.39%	2.85%	0.77%	0.31%	2.65%	2.24%	2.33%	3.42%	0.00%	5.56%	4.08%	1.12%	3.02%	0.34%					
23	. Харитонов Николай Михайлович	1476	101	106	152	125	67	138	128	52	85	28	70	23	35	17	78	40	12	14	85	77	43					
		18.47%	17.41%	22.36%	25.72%	20.90%	17.72%	22.12%	19.34%	13.79%	15.15%	21.54%	21.67%	10.18%	15.70%	9.88%	24.22%	18.52%	13.33%	14.29%	13.64%	17.87%	14.68%					
																												
24	Против всех	172	13	13	13	20	11	11	24	11	13	5	2	4	8	2	7	2	0	1	5	4	3					
		2.15%	2.24%	2.74%	2.20%	3.34%	2.91%	1.76%	3.63%	2.92%	2.32%	3.85%	0.62%	1.77%	3.59%	1.16%	2.17%	0.93%	0.00%	1.02%	0.80%	0.93%	1.02%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
