Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Южно-Курильская													
													
Итоги голосования 													
													
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279					
1	"Число избирателей, внесенных в список"	6667	2437	1185	880	627	1290	248					
2	Число полученных избирательных бюллетеней	6942	2530	1160	879	645	1480	248					
3	"Число избирательных бюллетеней, выданных  досрочно"	190	0	0	190	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4383	1187	1053	609	408	913	213					
5	"Число избирательных бюллетеней, выданных вне помещения"	126	48	0	25	20	33	0					
6	Число погашенных избирательных бюллетеней	2243	1295	107	55	217	534	35					
7	Число избирательных бюллетеней в переносных ящиках	316	48	0	215	20	33	0					
8	Число бюллетеней в стационарных ящиках для голосования	4379	1185	1052	609	408	912	213					
9	Число недействительных избирательных бюллетеней	27	10	5	1	2	8	1					
10	Число действительных избирательных бюллетеней	4668	1223	1047	823	426	937	212					
11	Число полученных открепительных  удостоверений	115	21	24	20	20	20	10					
12	Число выданных открепительных удостоверений	71	17	20	10	3	19	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	11	1	4	1	3	0					
14	Число неиспользованных открепительных удостоверений	44	4	4	10	17	1	8					
15	"Число открепительных удостоверений, выданных в ТИК"	5	4	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	130	69	9	10	6	31	5					
		2.77%	5.60%	0.86%	1.21%	1.40%	3.28%	2.35%					
19	. Малышкин Олег Александрович	87	30	12	8	19	13	5					
		1.85%	2.43%	1.14%	0.97%	4.44%	1.38%	2.35%					
20	. Миронов Сергей Михайлович	17	6	3	0	3	4	1					
		0.36%	0.49%	0.29%	0.00%	0.70%	0.42%	0.47%					
21	. Путин Владимир Владимирович	3793	853	941	766	302	741	190					
		80.79%	69.18%	89.45%	92.96%	70.56%	78.41%	89.20%					
22	. Хакамада Ирина Муцуовна	235	96	21	15	45	55	3					
		5.01%	7.79%	2.00%	1.82%	10.51%	5.82%	1.41%					
23	. Харитонов Николай Михайлович	264	115	31	14	34	64	6					
		5.62%	9.33%	2.95%	1.70%	7.94%	6.77%	2.82%					
													
24	Против всех	142	54	30	10	17	29	2					
		3.02%	4.38%	2.85%	1.21%	3.97%	3.07%	0.94%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
