Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Кологривская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №128	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176					
1	"Число избирателей, внесенных в список"	6817	173	276	275	145	301	192	319	131	197	159	337	422	1460	439	1574	288	129					
2	Число полученных избирательных бюллетеней	6852	176	284	279	150	301	194	320	134	199	160	339	423	1488	444	1531	298	132					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3408	94	158	139	100	191	113	164	74	105	109	144	200	716	233	680	112	76					
5	"Число избирательных бюллетеней, выданных вне помещения"	647	11	38	35	17	14	4	59	14	18	14	74	29	43	31	179	33	34					
6	Число погашенных избирательных бюллетеней	2797	71	88	105	33	96	77	97	46	76	37	121	194	729	180	672	153	22					
7	Число избирательных бюллетеней в переносных ящиках	647	11	38	35	17	14	4	59	14	18	14	74	29	43	31	179	33	34					
8	Число бюллетеней в стационарных ящиках для голосования	3408	94	158	139	100	191	113	164	74	105	109	144	200	716	233	680	112	76					
9	Число недействительных избирательных бюллетеней	21	0	0	1	0	2	1	1	1	1	2	3	1	2	1	4	1	0					
10	Число действительных избирательных бюллетеней	4034	105	196	173	117	203	116	222	87	122	121	215	228	757	263	855	144	110					
11	Число полученных открепительных  удостоверений	98	3	3	5	8	7	3	6	3	3	3	5	5	14	10	14	3	3					
12	Число выданных открепительных удостоверений	45	0	3	2	8	0	0	2	2	0	0	4	2	6	1	12	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	1	1	1	1	1	1	1	1	1	0	2	3	2	4	1	1					
14	Число неиспользованных открепительных удостоверений	53	3	0	3	0	7	3	4	1	3	3	1	3	8	9	2	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	2	0	0	0	0	0	0	0	0	2	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	95	3	5	1	3	11	3	0	1	1	1	13	2	18	6	22	3	2					
		2.34%	2.86%	2.55%	0.57%	2.56%	5.37%	2.56%	0.00%	1.14%	0.81%	0.81%	5.96%	0.87%	2.37%	2.27%	2.56%	2.07%	1.82%					
19	. Малышкин Олег Александрович	95	3	5	6	5	11	5	5	2	7	2	3	6	11	2	17	1	4					
		2.34%	2.86%	2.55%	3.45%	4.27%	5.37%	4.27%	2.24%	2.27%	5.69%	1.63%	1.38%	2.62%	1.45%	0.76%	1.98%	0.69%	3.64%					
20	. Миронов Сергей Михайлович	31	1	2	3	2	1	0	3	0	1	1	2	3	5	3	2	2	0					
		0.76%	0.95%	1.02%	1.72%	1.71%	0.49%	0.00%	1.35%	0.00%	0.81%	0.81%	0.92%	1.31%	0.66%	1.14%	0.23%	1.38%	0.00%					
21	. Путин Владимир Владимирович	2705	70	134	127	58	132	96	153	36	89	95	126	171	494	183	553	124	64					
		66.71%	66.67%	68.37%	72.99%	49.57%	64.39%	82.05%	68.61%	40.91%	72.36%	77.24%	57.80%	74.67%	65.09%	69.32%	64.38%	85.52%	58.18%					
22	. Хакамада Ирина Муцуовна	60	0	1	4	1	6	2	2	2	2	1	0	1	12	4	18	3	1					
		1.48%	0.00%	0.51%	2.30%	0.85%	2.93%	1.71%	0.90%	2.27%	1.63%	0.81%	0.00%	0.44%	1.58%	1.52%	2.10%	2.07%	0.91%					
23	. Харитонов Николай Михайлович	990	25	49	32	46	41	9	54	46	20	19	69	36	204	62	229	11	38					
		24.41%	23.81%	25.00%	18.39%	39.32%	20.00%	7.69%	24.22%	52.27%	16.26%	15.45%	31.65%	15.72%	26.88%	23.48%	26.66%	7.59%	34.55%					
																								
24	Против всех	58	3	0	0	2	1	1	5	0	2	2	2	9	13	3	14	0	1					
		1.43%	2.86%	0.00%	0.00%	1.71%	0.49%	0.85%	2.24%	0.00%	1.63%	1.63%	0.92%	3.93%	1.71%	1.14%	1.63%	0.00%	0.91%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
