Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Юхновская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734					
1	"Число избирателей, внесенных в список"	11124	2326	2459	1519	379	237	187	424	378	249	272	369	266	408	489	156	180	826					
2	Число полученных избирательных бюллетеней	10155	2120	2252	1343	354	209	182	405	342	236	248	338	232	372	431	162	175	754					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6861	1389	1646	1142	230	147	97	267	243	129	137	202	128	170	289	86	127	432					
5	"Число избирательных бюллетеней, выданных вне помещения"	1717	156	105	0	99	52	77	122	95	71	103	112	97	130	128	60	41	269					
6	Число погашенных избирательных бюллетеней	1577	575	501	201	25	10	8	16	4	36	8	24	7	72	14	16	7	53					
7	Число избирательных бюллетеней в переносных ящиках	1717	156	105	0	99	52	77	122	95	71	103	112	97	130	128	60	41	269					
8	Число бюллетеней в стационарных ящиках для голосования	6861	1389	1646	1142	230	147	97	267	243	129	137	202	128	170	289	86	127	432					
9	Число недействительных избирательных бюллетеней	49	11	3	4	6	1	1	2	1	1	1	5	0	4	4	3	0	2					
10	Число действительных избирательных бюллетеней	8529	1534	1748	1138	323	198	173	387	337	199	239	309	225	296	413	143	168	699					
11	Число полученных открепительных  удостоверений	208	20	23	5	25	3	7	13	7	15	8	8	0	15	15	13	16	15					
12	Число выданных открепительных удостоверений	186	19	23	5	25	1	7	13	7	15	8	5	0	6	15	9	16	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	2	18	4	5	0	0	6	1	3	3	0	1	2	3	5	1	5					
14	Число неиспользованных открепительных удостоверений	22	1	0	0	0	2	0	0	0	0	0	3	0	9	0	4	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	7	2	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	203	51	44	48	10	6	3	5	8	0	8	2	1	4	5	2	0	6					
		2.37%	3.30%	2.51%	4.20%	3.04%	3.02%	1.72%	1.29%	2.37%	0.00%	3.33%	0.64%	0.44%	1.33%	1.20%	1.37%	0.00%	0.86%					
19	. Малышкин Олег Александрович	182	22	31	37	4	5	0	11	9	7	2	7	7	6	10	13	0	11					
		2.12%	1.42%	1.77%	3.24%	1.22%	2.51%	0.00%	2.83%	2.66%	3.50%	0.83%	2.23%	3.11%	2.00%	2.40%	8.90%	0.00%	1.57%					
20	. Миронов Сергей Михайлович	65	16	10	7	2	0	2	3	4	4	1	4	1	2	3	2	1	3					
		0.76%	1.04%	0.57%	0.61%	0.61%	0.00%	1.15%	0.77%	1.18%	2.00%	0.42%	1.27%	0.44%	0.67%	0.72%	1.37%	0.60%	0.43%					
21	. Путин Владимир Владимирович	6434	1081	1214	878	232	149	141	302	250	167	207	239	186	230	318	100	135	605					
		75.01%	69.97%	69.33%	76.88%	70.52%	74.87%	81.03%	77.63%	73.96%	83.50%	86.25%	76.11%	82.67%	76.67%	76.26%	68.49%	80.36%	86.31%					
22	. Хакамада Ирина Муцуовна	121	25	34	18	4	2	4	2	2	3	1	5	2	7	3	0	0	9					
		1.41%	1.62%	1.94%	1.58%	1.22%	1.01%	2.30%	0.51%	0.59%	1.50%	0.42%	1.59%	0.89%	2.33%	0.72%	0.00%	0.00%	1.28%					
23	. Харитонов Николай Михайлович	1340	299	370	111	68	34	19	55	61	16	16	49	24	44	66	24	31	53					
		15.62%	19.35%	21.13%	9.72%	20.67%	17.09%	10.92%	14.14%	18.05%	8.00%	6.67%	15.61%	10.67%	14.67%	15.83%	16.44%	18.45%	7.56%					
																								
24	Против всех	184	40	45	39	3	2	4	9	3	2	4	3	4	3	8	2	1	12					
		2.15%	2.59%	2.57%	3.42%	0.91%	1.01%	2.30%	2.31%	0.89%	1.00%	1.67%	0.96%	1.78%	1.00%	1.92%	1.37%	0.60%	1.71%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
