Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    район Северное Измайлово																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №3099					
1	"Число избирателей, внесенных в список"	58278	2489	2771	2701	2792	2827	2718	2546	2313	2447	2489	2791	2193	2133	2201	1338	2258	2102	2494	2511	2572	2531	2405	2172	2121	363					
2	Число полученных избирательных бюллетеней	58750	2500	2800	2700	2800	2850	2750	2550	2350	2450	2500	2800	2200	2150	2200	1300	2250	2200	2550	2550	2600	2550	2400	2200	2150	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29246	1273	1363	1273	1396	1311	1422	1267	1107	1227	1172	1427	1170	1168	1173	703	1244	945	1288	1228	1236	1269	1287	1136	1161	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	1343	42	41	38	43	35	41	68	55	56	69	28	28	73	58	38	27	24	33	56	24	23	16	33	31	363					
6	Число погашенных избирательных бюллетеней	28161	1185	1396	1389	1361	1504	1287	1215	1188	1167	1259	1345	1002	909	969	559	979	1231	1229	1266	1340	1258	1097	1031	958	37					
7	Число избирательных бюллетеней в переносных ящиках	1343	42	41	38	43	35	41	68	55	56	69	28	28	73	58	38	27	24	33	56	24	23	16	33	31	363					
8	Число бюллетеней в стационарных ящиках для голосования	29083	1265	1362	1260	1392	1311	1394	1267	1081	1221	1170	1420	1162	1159	1168	703	1240	945	1288	1221	1236	1243	1287	1132	1156	0					
9	Число недействительных избирательных бюллетеней	276	15	5	10	10	9	16	9	14	9	5	13	12	5	7	6	9	14	17	14	9	8	23	6	8	23					
10	Число действительных избирательных бюллетеней	30150	1292	1398	1288	1425	1337	1419	1326	1122	1268	1234	1435	1178	1227	1219	735	1258	955	1304	1263	1251	1258	1280	1159	1179	340					
11	Число полученных открепительных  удостоверений	1200	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	717	27	28	36	41	42	35	28	21	26	16	30	31	35	24	17	39	26	29	30	24	32	32	39	29	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	471	13	22	20	22	18	20	23	21	26	15	20	16	29	27	10	26	22	16	11	15	17	27	13	22	0					
14	Число неиспользованных открепительных удостоверений	483	23	22	14	9	8	15	22	29	24	34	20	19	15	26	33	11	24	21	20	26	18	18	11	21	0					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	4	0	2	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	1806	74	96	92	80	87	84	88	66	71	63	68	58	106	68	58	65	52	83	86	53	70	56	92	76	14					
		5.94%	5.66%	6.84%	7.09%	5.57%	6.46%	5.85%	6.59%	5.81%	5.56%	5.08%	4.70%	4.87%	8.60%	5.55%	7.83%	5.13%	5.37%	6.28%	6.73%	4.21%	5.53%	4.30%	7.90%	6.40%	3.86%					
19	. Малышкин Олег Александрович	351	12	20	17	20	20	16	14	9	11	14	23	14	11	14	5	13	7	20	16	19	14	15	13	11	3					
		1.15%	0.92%	1.43%	1.31%	1.39%	1.49%	1.11%	1.05%	0.79%	0.86%	1.13%	1.59%	1.18%	0.89%	1.14%	0.67%	1.03%	0.72%	1.51%	1.25%	1.51%	1.11%	1.15%	1.12%	0.93%	0.83%					
20	. Миронов Сергей Михайлович	173	8	5	2	8	16	8	4	4	5	8	6	5	5	11	1	2	9	9	11	13	6	5	9	11	2					
		0.57%	0.61%	0.36%	0.15%	0.56%	1.19%	0.56%	0.30%	0.35%	0.39%	0.65%	0.41%	0.42%	0.41%	0.90%	0.13%	0.16%	0.93%	0.68%	0.86%	1.03%	0.47%	0.38%	0.77%	0.93%	0.55%					
21	. Путин Владимир Владимирович	21172	879	970	904	1001	923	1024	904	761	871	886	1095	862	695	811	523	920	691	933	891	906	929	941	747	796	309					
		69.59%	67.25%	69.14%	69.65%	69.76%	68.57%	71.36%	67.72%	66.99%	68.21%	71.51%	75.62%	72.44%	56.41%	66.15%	70.58%	72.61%	71.31%	70.63%	69.77%	71.90%	73.38%	72.22%	64.12%	67.06%	85.12%					
22	. Хакамада Ирина Муцуовна	2471	96	132	86	107	109	109	128	99	121	87	69	83	232	153	46	119	80	90	93	68	72	75	122	95	0					
		8.12%	7.35%	9.41%	6.63%	7.46%	8.10%	7.60%	9.59%	8.71%	9.48%	7.02%	4.77%	6.97%	18.83%	12.48%	6.21%	9.39%	8.26%	6.81%	7.28%	5.40%	5.69%	5.76%	10.47%	8.00%	0.00%					
23	. Харитонов Николай Михайлович	2368	141	96	103	108	101	92	111	100	102	101	98	88	94	75	57	77	54	92	103	130	100	110	105	124	6					
		7.78%	10.79%	6.84%	7.94%	7.53%	7.50%	6.41%	8.31%	8.80%	7.99%	8.15%	6.77%	7.39%	7.63%	6.12%	7.69%	6.08%	5.57%	6.96%	8.07%	10.32%	7.90%	8.44%	9.01%	10.45%	1.65%					
																																
24	Против всех	1809	82	79	84	101	81	86	77	83	87	75	76	68	84	87	45	62	62	77	63	62	67	78	71	66	6					
		5.95%	6.27%	5.63%	6.47%	7.04%	6.02%	5.99%	5.77%	7.31%	6.81%	6.05%	5.25%	5.71%	6.82%	7.10%	6.07%	4.89%	6.40%	5.83%	4.93%	4.92%	5.29%	5.99%	6.09%	5.56%	1.65%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
