Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Шалинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068					
1	"Число избирателей, внесенных в список"	16648	2968	1997	435	1116	87	1458	1336	737	134	576	129	607	462	901	120	1064	661	1020	139	603	98					
2	Число полученных избирательных бюллетеней	16350	2864	1800	410	1100	100	1429	1373	750	130	570	128	620	454	892	113	1074	673	1035	142	596	97					
3	"Число избирательных бюллетеней, выданных  досрочно"	66	0	0	0	0	0	21	15	19	0	0	0	11	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8391	1497	908	177	558	67	721	501	392	107	410	90	340	277	465	71	566	325	433	75	350	61					
5	"Число избирательных бюллетеней, выданных вне помещения"	1054	91	104	69	111	0	71	110	92	14	18	5	24	27	31	0	74	35	108	18	42	10					
6	Число погашенных избирательных бюллетеней	6839	1276	788	164	431	33	616	747	247	9	142	33	245	150	396	42	434	313	494	49	204	26					
7	Число избирательных бюллетеней в переносных ящиках	1120	91	104	69	111	0	92	125	111	14	18	5	35	27	31	0	74	35	108	18	42	10					
8	Число бюллетеней в стационарных ящиках для голосования	8385	1497	902	177	558	67	721	501	392	107	410	90	340	277	465	71	566	325	433	75	350	61					
9	Число недействительных избирательных бюллетеней	93	6	7	3	7	2	4	2	3	0	0	2	10	10	9	1	10	6	5	0	4	2					
10	Число действительных избирательных бюллетеней	9412	1582	999	243	662	65	809	624	500	121	428	93	365	294	487	70	630	354	536	93	388	69					
11	Число полученных открепительных  удостоверений	349	59	40	8	23	2	30	28	17	3	12	3	13	10	20	3	23	15	22	3	13	2					
12	Число выданных открепительных удостоверений	37	10	3	0	1	0	0	3	1	0	0	3	1	6	1	0	1	0	3	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	11	4	0	6	0	4	3	1	0	1	0	1	8	9	2	1	1	2	0	2	3					
14	Число неиспользованных открепительных удостоверений	312	49	37	8	22	2	30	25	16	3	12	0	12	4	19	3	22	15	19	1	11	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	186	31	21	11	7	0	24	10	11	3	8	1	2	5	6	1	10	16	14	0	4	1					
		1.96%	1.95%	2.09%	4.47%	1.05%	0.00%	2.95%	1.60%	2.19%	2.48%	1.87%	1.05%	0.53%	1.64%	1.21%	1.41%	1.56%	4.44%	2.59%	0.00%	1.02%	1.41%					
19	. Малышкин Олег Александрович	184	32	18	3	11	3	11	10	11	0	18	4	4	6	3	0	13	10	15	0	10	2					
		1.94%	2.02%	1.79%	1.22%	1.64%	4.48%	1.35%	1.60%	2.19%	0.00%	4.21%	4.21%	1.07%	1.97%	0.60%	0.00%	2.03%	2.78%	2.77%	0.00%	2.55%	2.82%					
20	. Миронов Сергей Михайлович	76	9	5	1	5	2	7	7	4	1	0	2	4	3	1	3	4	6	4	1	6	1					
		0.80%	0.57%	0.50%	0.41%	0.75%	2.99%	0.86%	1.12%	0.80%	0.83%	0.00%	2.11%	1.07%	0.99%	0.20%	4.23%	0.62%	1.67%	0.74%	1.08%	1.53%	1.41%					
21	. Путин Владимир Владимирович	7909	1323	827	201	588	49	659	508	416	113	364	75	305	240	436	61	536	277	452	88	339	52					
		83.21%	83.31%	82.21%	81.71%	87.89%	73.13%	81.06%	81.15%	82.70%	93.39%	85.05%	78.95%	81.33%	78.95%	87.90%	85.92%	83.75%	76.94%	83.55%	94.62%	86.48%	73.24%					
22	. Хакамада Ирина Муцуовна	176	39	17	7	14	1	12	8	7	0	4	0	6	13	8	0	18	4	12	0	6	0					
		1.85%	2.46%	1.69%	2.85%	2.09%	1.49%	1.48%	1.28%	1.39%	0.00%	0.93%	0.00%	1.60%	4.28%	1.61%	0.00%	2.81%	1.11%	2.22%	0.00%	1.53%	0.00%					
23	. Харитонов Николай Михайлович	722	101	82	14	26	6	88	76	45	4	30	8	41	22	30	4	45	33	33	2	20	12					
		7.60%	6.36%	8.15%	5.69%	3.89%	8.96%	10.82%	12.14%	8.95%	3.31%	7.01%	8.42%	10.93%	7.24%	6.05%	5.63%	7.03%	9.17%	6.10%	2.15%	5.10%	16.90%					
																												
24	Против всех	159	47	29	6	11	4	8	5	6	0	4	3	3	5	3	1	4	8	6	2	3	1					
		1.67%	2.96%	2.88%	2.44%	1.64%	5.97%	0.98%	0.80%	1.19%	0.00%	0.93%	3.16%	0.80%	1.64%	0.60%	1.41%	0.62%	2.22%	1.11%	2.15%	0.77%	1.41%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
