Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    район Сокол																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №3063	УИК №3064					
1	"Число избирателей, внесенных в список"	32316	2444	2245	2039	2708	2320	2135	2060	1754	2538	2227	2423	2140	2576	2559	68	80					
2	Число полученных избирательных бюллетеней	30735	2400	2100	2000	2500	2195	1900	1900	1700	2500	2200	2300	2000	2400	2400	70	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19463	1481	1412	1287	1525	1552	1242	1154	1114	1557	1412	1384	1281	1508	1406	68	80					
5	"Число избирательных бюллетеней, выданных вне помещения"	891	61	63	56	60	39	45	37	74	117	107	67	67	53	45	0	0					
6	Число погашенных избирательных бюллетеней	10381	858	625	657	915	604	613	709	512	826	681	849	652	839	949	2	90					
7	Число избирательных бюллетеней в переносных ящиках	889	61	63	56	60	39	45	37	74	117	105	67	67	53	45	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	19373	1475	1409	1283	1521	1552	1233	1147	1108	1557	1393	1380	1256	1505	1406	68	80					
9	Число недействительных избирательных бюллетеней	119	14	6	8	15	9	13	5	5	2	13	12	8	2	7	0	0					
10	Число действительных избирательных бюллетеней	20143	1522	1466	1331	1566	1582	1265	1179	1177	1672	1485	1435	1315	1556	1444	68	80					
11	Число полученных открепительных  удостоверений	720	50	50	50	50	50	50	50	50	50	50	70	50	50	50	0	0					
12	Число выданных открепительных удостоверений	519	48	33	36	38	40	30	18	32	48	40	51	33	35	37	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	571	35	51	19	37	32	38	18	39	43	47	48	29	94	30	11	0					
14	Число неиспользованных открепительных удостоверений	201	2	17	14	12	10	20	32	18	2	10	19	17	15	13	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	1634	130	114	130	133	113	66	64	125	104	144	127	122	136	120	5	1					
		8.06%	8.46%	7.74%	9.71%	8.41%	7.10%	5.16%	5.41%	10.58%	6.21%	9.61%	8.78%	9.22%	8.73%	8.27%	7.35%	1.25%					
19	. Малышкин Олег Александрович	163	5	10	8	12	21	21	9	10	8	15	8	7	17	10	2	0					
		0.80%	0.33%	0.68%	0.60%	0.76%	1.32%	1.64%	0.76%	0.85%	0.48%	1.00%	0.55%	0.53%	1.09%	0.69%	2.94%	0.00%					
20	. Миронов Сергей Михайлович	145	14	8	2	12	8	14	10	4	10	14	8	12	9	20	0	0					
		0.72%	0.91%	0.54%	0.15%	0.76%	0.50%	1.10%	0.84%	0.34%	0.60%	0.93%	0.55%	0.91%	0.58%	1.38%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11894	856	929	749	849	1005	862	703	639	1147	854	806	717	848	810	44	76					
		58.70%	55.73%	63.11%	55.94%	53.70%	63.17%	67.45%	59.38%	54.06%	68.52%	57.01%	55.70%	54.20%	54.43%	55.82%	64.71%	95.00%					
22	. Хакамада Ирина Муцуовна	2798	245	158	155	283	205	108	171	164	230	215	164	232	255	209	3	1					
		13.81%	15.95%	10.73%	11.58%	17.90%	12.88%	8.45%	14.44%	13.87%	13.74%	14.35%	11.33%	17.54%	16.37%	14.40%	4.41%	1.25%					
23	. Харитонов Николай Михайлович	1832	134	155	201	139	103	82	90	121	69	147	210	92	142	140	6	1					
		9.04%	8.72%	10.53%	15.01%	8.79%	6.47%	6.42%	7.60%	10.24%	4.12%	9.81%	14.51%	6.95%	9.11%	9.65%	8.82%	1.25%					
																							
24	Против всех	1677	138	92	86	138	127	112	132	114	104	96	112	133	149	135	8	1					
		8.28%	8.98%	6.25%	6.42%	8.73%	7.98%	8.76%	11.15%	9.64%	6.21%	6.41%	7.74%	10.05%	9.56%	9.30%	11.76%	1.25%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
