Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кадуйская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538					
1	"Число избирателей, внесенных в список"	14160	1082	819	998	997	1295	1353	981	1103	594	59	1145	870	218	190	213	201	188	158	59	466	570	151	450					
2	Число полученных избирательных бюллетеней	13196	950	700	950	950	1200	1200	950	1000	560	58	1020	850	218	186	206	179	190	152	56	465	570	146	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9094	620	475	590	675	832	863	682	717	373	53	808	640	155	115	127	119	155	104	52	274	395	65	205					
5	"Число избирательных бюллетеней, выданных вне помещения"	1094	26	48	15	14	28	71	17	20	42	4	114	30	50	29	47	58	16	44	4	124	49	77	167					
6	Число погашенных избирательных бюллетеней	3008	304	177	345	261	340	266	251	263	145	1	98	180	13	42	32	2	19	4	0	67	126	4	68					
7	Число избирательных бюллетеней в переносных ящиках	1094	26	48	15	14	28	71	17	20	42	4	114	30	50	29	47	58	16	44	4	124	49	77	167					
8	Число бюллетеней в стационарных ящиках для голосования	9094	620	475	590	675	832	863	682	717	373	53	808	640	155	115	127	119	155	104	52	274	395	65	205					
9	Число недействительных избирательных бюллетеней	77	2	10	4	4	7	6	3	5	5	0	5	6	0	0	1	0	4	1	1	2	6	2	3					
10	Число действительных избирательных бюллетеней	10111	644	513	601	685	853	928	696	732	410	57	917	664	205	144	173	177	167	147	55	396	438	140	369					
11	Число полученных открепительных  удостоверений	400	20	20	20	20	25	25	20	20	15	0	20	20	15	20	10	15	10	15	10	30	20	10	20					
12	Число выданных открепительных удостоверений	140	8	3	5	6	13	13	8	7	1	0	15	15	2	10	0	3	3	2	0	12	11	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	8	10	0	9	4	4	6	5	8	0	17	5	2	7	4	4	3	0	1	8	12	10	2					
14	Число неиспользованных открепительных удостоверений	260	12	17	15	14	12	12	12	13	14	0	5	5	13	10	10	12	7	13	10	18	9	7	20					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	386	22	23	28	37	31	47	40	29	10	1	27	7	5	1	6	7	3	6	0	26	15	5	10					
		3.79%	3.41%	4.40%	4.63%	5.37%	3.60%	5.03%	5.72%	3.93%	2.41%	1.75%	2.93%	1.04%	2.44%	0.69%	3.45%	3.95%	1.75%	4.05%	0.00%	6.53%	3.38%	3.52%	2.69%					
19	. Малышкин Олег Александрович	250	20	14	12	16	14	14	9	29	13	2	24	23	8	4	5	3	4	7	2	12	7	2	6					
		2.45%	3.10%	2.68%	1.98%	2.32%	1.63%	1.50%	1.29%	3.93%	3.13%	3.51%	2.60%	3.43%	3.90%	2.78%	2.87%	1.69%	2.34%	4.73%	3.57%	3.02%	1.58%	1.41%	1.61%					
20	. Миронов Сергей Михайлович	93	5	2	6	3	5	14	8	5	6	0	10	3	0	0	4	1	4	1	0	7	7	1	1					
		0.91%	0.77%	0.38%	0.99%	0.44%	0.58%	1.50%	1.14%	0.68%	1.45%	0.00%	1.08%	0.45%	0.00%	0.00%	2.30%	0.56%	2.34%	0.68%	0.00%	1.76%	1.58%	0.70%	0.27%					
21	. Путин Владимир Владимирович	7463	450	361	433	482	634	661	505	508	324	46	733	554	158	124	102	146	135	102	49	283	293	108	272					
		73.25%	69.66%	69.02%	71.57%	69.96%	73.72%	70.77%	72.25%	68.93%	78.07%	80.70%	79.50%	82.69%	77.07%	86.11%	58.62%	82.49%	78.95%	68.92%	87.50%	71.11%	65.99%	76.06%	73.12%					
22	. Хакамада Ирина Муцуовна	284	13	16	24	24	34	44	16	33	6	2	23	10	0	0	1	1	2	4	0	7	16	2	6					
		2.79%	2.01%	3.06%	3.97%	3.48%	3.95%	4.71%	2.29%	4.48%	1.45%	3.51%	2.49%	1.49%	0.00%	0.00%	0.57%	0.56%	1.17%	2.70%	0.00%	1.76%	3.60%	1.41%	1.61%					
