Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Кардымовская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492					
1	"Число избирателей, внесенных в список"	9590	2272	1642	207	310	178	298	180	711	143	514	414	217	562	345	340	117	262	264	402	212					
2	Число полученных избирательных бюллетеней	9550	2265	1620	205	310	180	300	175	705	140	525	410	220	550	350	340	120	260	265	410	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4554	1154	816	139	143	99	138	94	288	67	193	122	128	214	184	179	56	130	114	248	48					
5	"Число избирательных бюллетеней, выданных вне помещения"	1388	122	79	18	56	15	31	21	163	28	150	129	55	152	29	31	19	47	98	47	98					
6	Число погашенных избирательных бюллетеней	3608	989	725	48	111	66	131	60	254	45	182	159	37	184	137	130	45	83	53	115	54					
7	Число избирательных бюллетеней в переносных ящиках	1388	122	79	18	56	15	31	21	163	28	150	129	55	152	29	31	19	47	98	47	98					
8	Число бюллетеней в стационарных ящиках для голосования	4554	1154	816	139	143	99	138	94	288	67	193	122	128	214	184	179	56	130	114	248	48					
9	Число недействительных избирательных бюллетеней	55	13	9	2	2	1	2	0	7	0	3	1	4	4	3	2	0	0	0	0	2					
10	Число действительных избирательных бюллетеней	5887	1263	886	155	197	113	167	115	444	95	340	250	179	362	210	208	75	177	212	295	144					
11	Число полученных открепительных  удостоверений	330	30	30	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	105	23	12	0	1	4	3	1	5	3	7	1	7	5	3	1	3	4	4	15	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	83	11	8	3	4	1	3	5	8	3	2	4	1	4	2	1	3	2	2	8	8					
14	Число неиспользованных открепительных удостоверений	225	7	18	15	14	11	12	14	10	12	8	14	8	10	12	14	12	11	11	0	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	164	50	19	4	7	5	1	0	5	2	9	4	3	10	11	3	5	4	2	12	8					
		2.76%	3.92%	2.12%	2.55%	3.52%	4.39%	0.59%	0.00%	1.11%	2.11%	2.62%	1.59%	1.64%	2.73%	5.16%	1.43%	6.67%	2.26%	0.94%	4.07%	5.48%					
19	. Малышкин Олег Александрович	144	32	17	1	6	2	9	4	6	3	5	6	6	5	5	6	0	7	7	8	9					
		2.42%	2.51%	1.90%	0.64%	3.02%	1.75%	5.33%	3.48%	1.33%	3.16%	1.46%	2.39%	3.28%	1.37%	2.35%	2.86%	0.00%	3.95%	3.30%	2.71%	6.16%					
20	. Миронов Сергей Михайлович	55	16	11	3	0	2	2	1	3	1	2	1	1	3	1	1	0	1	1	5	0					
		0.93%	1.25%	1.23%	1.91%	0.00%	1.75%	1.18%	0.87%	0.67%	1.05%	0.58%	0.40%	0.55%	0.82%	0.47%	0.48%	0.00%	0.56%	0.47%	1.69%	0.00%					
21	. Путин Владимир Владимирович	3935	823	584	106	141	75	115	93	301	72	220	184	129	245	116	123	56	110	150	201	91					
		66.22%	64.50%	65.25%	67.52%	70.85%	65.79%	68.05%	80.87%	66.74%	75.79%	64.14%	73.31%	70.49%	66.94%	54.46%	58.57%	74.67%	62.15%	70.75%	68.14%	62.33%					
22	. Хакамада Ирина Муцуовна	167	53	35	5	6	3	4	4	7	3	6	8	3	4	5	3	2	1	5	7	3					
		2.81%	4.15%	3.91%	3.18%	3.02%	2.63%	2.37%	3.48%	1.55%	3.16%	1.75%	3.19%	1.64%	1.09%	2.35%	1.43%	2.67%	0.56%	2.36%	2.37%	2.05%					
23	. Харитонов Николай Михайлович	1292	251	196	35	34	26	33	10	119	12	89	41	30	90	68	69	10	48	41	60	30					
		21.74%	19.67%	21.90%	22.29%	17.09%	22.81%	19.53%	8.70%	26.39%	12.63%	25.95%	16.33%	16.39%	24.59%	31.92%	32.86%	13.33%	27.12%	19.34%	20.34%	20.55%					
																											
24	Против всех	130	38	24	1	3	0	3	3	3	2	9	6	7	5	4	3	2	6	6	2	3					
		2.19%	2.98%	2.68%	0.64%	1.51%	0.00%	1.78%	2.61%	0.67%	2.11%	2.62%	2.39%	3.83%	1.37%	1.88%	1.43%	2.67%	3.39%	2.83%	0.68%	2.05%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
