Выборы Президента Российской Федерации																																																																								
																																																																								
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732					
1	"Число избирателей, внесенных в список"	122990	2095	2389	2312	1770	2146	795	1336	1313	1871	1910	1692	1751	2608	1322	2695	2158	2884	1199	111	104	423	1995	2575	1635	1933	1996	2011	2708	2872	106	2063	389	1884	1907	1518	2719	2013	2669	2744	2906	471	1385	2579	2545	2405	1819	2597	1892	1821	2620	1959	1244	1989	2488	1557	2009	2387	1845	2168	2045	1284	2482	2531	1608	1733					
2	Число полученных избирательных бюллетеней	114954	1980	2210	2120	1660	1960	1020	1320	1220	1730	1830	1560	1650	2530	1220	2450	2030	2640	1100	114	102	465	1750	2370	1540	1800	1950	1840	2500	2610	106	1830	404	1730	1750	1400	2500	1890	2480	2610	2660	473	1270	2350	2340	2220	1660	2390	1740	1660	2440	1840	1090	1830	2260	1440	1890	2180	1900	2040	1920	1210	2700	2280	1490	1710					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	71928	1251	1308	1251	1061	1197	472	632	643	990	1035	932	1032	1395	858	1749	1212	1725	453	111	80	423	1071	1466	939	1119	1177	1162	1426	1619	95	1267	239	1063	1045	810	1694	1083	1530	1736	2042	304	815	1591	1492	1533	1039	1293	951	1038	1532	960	627	1057	1417	871	1040	1433	898	1442	953	783	2306	1590	1132	1438					
5	"Число избирательных бюллетеней, выданных вне помещения"	3277	117	39	69	19	11	22	41	60	52	106	52	31	20	69	138	79	45	33	0	22	0	66	65	27	45	10	15	81	27	11	23	134	49	44	40	73	62	20	35	30	148	36	47	55	30	32	43	94	49	55	93	105	37	31	34	65	42	50	20	92	38	176	12	6	5					
6	Число погашенных избирательных бюллетеней	39749	612	863	800	580	752	526	647	517	688	689	576	587	1115	293	563	739	870	614	3	0	42	613	839	574	636	763	663	993	964	0	540	31	618	661	550	733	745	930	839	588	21	419	712	793	657	589	1054	695	573	853	787	358	736	812	535	785	705	952	578	875	389	218	678	352	267					
7	Число избирательных бюллетеней в переносных ящиках	3277	117	39	69	19	11	22	41	60	52	106	52	31	20	69	138	79	45	33	0	22	0	66	65	27	45	10	15	81	27	11	23	134	49	44	40	73	62	20	35	30	148	36	47	55	30	32	43	94	49	55	93	105	37	31	34	65	42	50	20	92	38	176	12	6	5					
8	Число бюллетеней в стационарных ящиках для голосования	71905	1251	1308	1251	1061	1197	471	632	642	990	1035	932	1032	1395	858	1749	1209	1721	453	111	80	423	1071	1466	939	1119	1177	1162	1426	1619	95	1267	239	1063	1045	810	1694	1083	1527	1736	2041	304	815	1591	1492	1533	1039	1293	951	1038	1531	960	627	1056	1415	871	1040	1431	896	1442	953	783	2306	1589	1131	1438					
9	Число недействительных избирательных бюллетеней	687	16	10	14	8	9	7	6	8	11	13	10	15	13	13	8	3	18	13	1	0	2	3	9	11	9	4	12	17	17	0	8	6	11	13	7	8	24	16	20	8	8	6	14	27	9	10	19	10	9	9	11	11	7	26	2	17	11	15	0	9	7	6	24	7	12					
10	Число действительных избирательных бюллетеней	74495	1352	1337	1306	1072	1199	486	667	694	1031	1128	974	1048	1402	914	1879	1285	1748	473	110	102	421	1134	1522	955	1155	1183	1165	1490	1629	106	1282	367	1101	1076	843	1759	1121	1531	1751	2063	444	845	1624	1520	1554	1061	1317	1035	1078	1577	1042	721	1086	1420	903	1088	1462	931	1462	1036	814	2476	1577	1130	1431					
11	Число полученных открепительных  удостоверений	4270	70	100	100	50	50	30	30	50	70	80	70	70	120	50	120	70	120	30	0	0	0	70	100	50	70	130	70	70	120	0	70	10	50	50	50	100	70	120	100	120	0	30	100	100	100	70	100	70	70	120	70	30	70	100	30	50	50	50	50	30	30	80	70	30	70					
12	Число выданных открепительных удостоверений	1651	25	52	27	35	25	17	5	13	25	21	26	25	49	30	58	32	24	4	0	0	0	18	39	26	25	117	26	35	30	0	17	1	15	29	12	36	45	46	28	45	0	26	28	44	39	30	31	11	16	33	21	7	25	26	16	14	26	20	32	15	11	5	14	16	62					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1523	11	30	17	19	11	17	16	15	10	22	27	20	34	13	34	19	29	9	37	32	86	86	22	11	30	25	9	25	24	33	16	4	8	19	21	11	19	7	37	30	137	16	18	12	25	12	14	12	14	20	10	13	14	24	16	14	19	35	21	50	31	7	14	9	21					
14	Число неиспользованных открепительных удостоверений	2619	45	48	73	15	25	13	25	37	45	59	44	45	71	20	62	38	96	26	0	0	0	52	61	24	45	13	44	35	90	0	53	9	35	21	38	64	25	74	72	75	0	4	72	56	61	40	69	59	54	87	49	23	45	74	14	36	24	30	18	15	19	75	56	14	8					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
