Выборы Президента Российской Федерации																																																																																								
Дата голосования: 02.03.2008																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Воскресенская																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
	Число участковых избирательных комиссий	81																																																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	81																																																																																						
																																																																																								
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197					
1	"Число избирателей, включенных в списки избирателей"	115056	2663	2853	2475	2296	2211	2483	2076	1553	1620	2259	1509	303	1147	796	2201	1293	1185	1471	394	2847	2676	2652	2498	2578	698	1669	2329	2548	1391	1803	1136	2058	2044	1775	2204	218	1561	1960	2302	2357	2081	2182	1616	867	267	2012	1467	1168	247	1799	686	998	857	483	1365	241	807	1940	937	599	391	1150	602	249	1641	1703	975	1921	455	2079	158	220	304	426	744	1113	603	1539	1664	201	207					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	116844	2800	2850	2750	2300	2250	2550	2100	1600	1550	2200	1500	299	1100	800	2300	1300	1150	1500	350	2900	2650	2650	2800	2550	650	1650	2350	2750	1400	1800	1150	2050	2050	1750	2300	225	1550	2000	2350	2450	2200	2600	2050	850	250	2000	1450	1150	250	1650	650	1000	850	450	1350	250	800	1950	950	550	400	1150	600	250	1650	1700	950	1950	450	2100	150	200	300	450	750	1100	550	1450	1750	200	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	83277	2474	2537	2412	1840	1710	1985	1546	784	875	1245	1251	299	569	417	1783	1006	878	1196	227	2372	2240	2318	2197	1843	328	1344	2057	2343	1025	1464	682	1882	1818	1374	1194	218	1322	1663	2201	1353	1154	1461	1153	411	161	1039	1229	701	151	1135	407	693	703	290	1088	168	687	1094	502	198	128	727	320	127	992	910	530	1245	254	1160	71	96	201	231	426	610	283	956	1045	128	140					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5205	12	14	27	28	30	28	28	63	55	40	49	0	19	21	80	32	54	57	19	110	44	55	99	255	95	57	22	125	114	60	30	33	71	100	47	0	61	33	34	63	34	25	11	155	50	46	39	60	28	5	75	0	42	46	17	34	3	221	128	228	170	136	132	55	69	79	94	117	89	80	27	57	0	54	53	79	94	172	149	43	45					
6	Число погашенных избирательных бюллетеней	28358	314	299	311	432	510	537	526	753	618	915	200	0	512	362	437	262	218	247	104	418	366	277	504	452	227	249	271	282	260	276	438	135	161	276	1059	7	167	304	115	1034	1011	1114	886	284	39	915	182	389	71	510	168	307	105	114	245	48	110	635	320	124	102	287	148	68	589	711	326	588	107	860	52	47	99	165	271	411	173	322	556	29	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5205	12	14	27	28	30	28	28	63	55	40	49	0	19	21	80	32	54	57	19	110	44	55	99	255	95	57	22	125	114	60	30	33	71	100	47	0	61	33	34	63	34	25	11	155	50	46	39	60	28	5	75	0	42	46	17	34	3	221	128	228	170	136	132	55	69	79	94	117	89	80	27	57	0	54	53	79	94	172	149	43	45					
