Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Партизанская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799					
1	"Число избирателей, внесенных в список"	8989	321	103	697	412	155	822	76	70	196	267	143	78	385	211	288	527	465	191	53	2094	913	522					
2	Число полученных избирательных бюллетеней	8919	318	102	691	410	155	810	76	70	194	266	143	77	385	212	290	526	454	193	53	2078	900	516					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5087	231	78	355	195	106	493	69	57	130	165	119	45	238	113	140	313	302	139	38	1002	423	336					
5	"Число избирательных бюллетеней, выданных вне помещения"	737	14	4	90	92	13	41	1	4	21	42	11	13	41	46	74	32	29	7	10	80	40	32					
6	Число погашенных избирательных бюллетеней	3095	73	20	246	123	36	276	6	9	43	59	13	19	106	53	76	181	123	47	5	996	437	148					
7	Число избирательных бюллетеней в переносных ящиках	737	14	4	90	92	13	41	1	4	21	42	11	13	41	46	74	32	29	7	10	80	40	32					
8	Число бюллетеней в стационарных ящиках для голосования	5086	231	78	355	195	106	493	69	57	130	165	119	45	238	113	140	313	301	139	38	1002	423	336					
9	Число недействительных избирательных бюллетеней	50	1	3	2	0	0	7	0	0	2	0	0	0	0	3	1	6	2	1	0	12	3	7					
10	Число действительных избирательных бюллетеней	5773	244	79	443	287	119	527	70	61	149	207	130	58	279	156	213	339	328	145	48	1070	460	361					
11	Число полученных открепительных  удостоверений	85	3	3	5	3	3	5	3	3	3	3	3	3	3	3	3	5	5	3	3	10	5	5					
12	Число выданных открепительных удостоверений	24	1	0	0	2	0	0	0	0	0	3	0	0	0	0	3	2	0	1	1	7	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	0	0	2	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	3	1	2					
14	Число неиспользованных открепительных удостоверений	61	2	3	5	1	3	5	3	3	3	0	3	3	3	3	0	3	5	2	2	3	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	700	35	8	45	23	13	60	15	19	17	15	9	8	8	23	21	20	30	13	3	172	82	61					
		12.02%	14.29%	9.76%	10.11%	8.01%	10.92%	11.24%	21.43%	31.15%	11.26%	7.25%	6.92%	13.79%	2.87%	14.47%	9.81%	5.80%	9.09%	8.90%	6.25%	15.90%	17.71%	16.58%					
19	. Малышкин Олег Александрович	209	9	1	12	6	7	19	4	5	3	6	1	8	4	5	4	10	30	3	0	38	22	12					
		3.59%	3.67%	1.22%	2.70%	2.09%	5.88%	3.56%	5.71%	8.20%	1.99%	2.90%	0.77%	13.79%	1.43%	3.14%	1.87%	2.90%	9.09%	2.05%	0.00%	3.51%	4.75%	3.26%					
20	. Миронов Сергей Михайлович	41	1	0	4	4	1	6	0	0	3	0	0	1	3	0	2	3	2	2	0	3	6	0					
		0.70%	0.41%	0.00%	0.90%	1.39%	0.84%	1.12%	0.00%	0.00%	1.99%	0.00%	0.00%	1.72%	1.08%	0.00%	0.93%	0.87%	0.61%	1.37%	0.00%	0.28%	1.30%	0.00%					
21	. Путин Владимир Владимирович	3601	108	56	275	227	91	313	32	17	99	161	94	25	163	117	150	199	210	84	36	641	258	245					
		61.84%	44.08%	68.29%	61.80%	79.09%	76.47%	58.61%	45.71%	27.87%	65.56%	77.78%	72.31%	43.10%	58.42%	73.58%	70.09%	57.68%	63.64%	57.53%	75.00%	59.24%	55.72%	66.58%					
22	. Хакамада Ирина Муцуовна	107	8	0	11	0	2	11	0	0	8	0	4	0	0	1	10	7	5	5	3	15	10	7					
		1.84%	3.27%	0.00%	2.47%	0.00%	1.68%	2.06%	0.00%	0.00%	5.30%	0.00%	3.08%	0.00%	0.00%	0.63%	4.67%	2.03%	1.52%	3.42%	6.25%	1.39%	2.16%	1.90%					
23	. Харитонов Николай Михайлович	1011	78	14	90	27	5	108	19	19	19	24	20	16	98	10	21	95	41	38	4	171	65	29					
		17.36%	31.84%	17.07%	20.22%	9.41%	4.20%	20.22%	27.14%	31.15%	12.58%	11.59%	15.38%	27.59%	35.13%	6.29%	9.81%	27.54%	12.42%	26.03%	8.33%	15.80%	14.04%	7.88%					
																													
24	Против всех	104	5	0	6	0	0	10	0	1	0	1	2	0	3	0	5	5	10	0	2	30	17	7					
		1.79%	2.04%	0.00%	1.35%	0.00%	0.00%	1.87%	0.00%	1.64%	0.00%	0.48%	1.54%	0.00%	1.08%	0.00%	2.34%	1.45%	3.03%	0.00%	4.17%	2.77%	3.67%	1.90%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
