Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Хорошевский район																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499					
1	"Число избирателей, внесенных в список"	39319	2853	2212	2500	2483	2578	2812	2454	2453	2533	2556	2096	1927	2635	2366	2249	2612					
2	Число полученных избирательных бюллетеней	36200	2600	2000	2300	2300	2400	2600	2200	2300	2300	2400	1900	1800	2400	2200	2100	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21549	1565	973	1356	1552	1367	1589	1459	1330	1351	1578	1106	1062	1411	1297	1226	1327					
5	"Число избирательных бюллетеней, выданных вне помещения"	560	18	35	39	37	49	28	23	32	38	60	15	31	47	56	46	6					
6	Число погашенных избирательных бюллетеней	14091	1017	992	905	711	984	983	718	938	911	762	779	707	942	847	828	1067					
7	Число избирательных бюллетеней в переносных ящиках	560	18	35	39	37	49	28	23	32	38	60	15	31	47	56	46	6					
8	Число бюллетеней в стационарных ящиках для голосования	21473	1548	973	1354	1547	1367	1589	1451	1326	1346	1576	1091	1056	1408	1297	1225	1319					
9	Число недействительных избирательных бюллетеней	200	14	16	17	12	8	11	11	14	6	21	15	10	9	14	13	9					
10	Число действительных избирательных бюллетеней	21833	1552	992	1376	1572	1408	1606	1463	1344	1378	1615	1091	1077	1446	1339	1258	1316					
11	Число полученных открепительных  удостоверений	1094	30	60	60	70	260	60	50	40	50	40	40	60	60	30	124	60					
12	Число выданных открепительных удостоверений	808	20	24	45	67	233	42	31	20	32	31	25	59	40	23	97	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	534	42	39	34	31	32	46	50	15	25	22	29	30	22	21	53	43					
14	Число неиспользованных открепительных удостоверений	286	10	36	15	3	27	18	19	20	18	9	15	1	20	7	27	41					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	1639	89	50	93	92	115	131	126	94	110	129	83	77	137	99	123	91					
		7.44%	5.68%	4.96%	6.68%	5.81%	8.12%	8.10%	8.55%	6.92%	7.95%	7.89%	7.50%	7.08%	9.42%	7.32%	9.68%	6.87%					
19	. Малышкин Олег Александрович	278	26	10	19	17	11	27	20	26	23	12	5	11	17	16	11	27					
		1.26%	1.66%	0.99%	1.36%	1.07%	0.78%	1.67%	1.36%	1.91%	1.66%	0.73%	0.45%	1.01%	1.17%	1.18%	0.87%	2.04%					
20	. Миронов Сергей Михайлович	121	6	4	15	5	8	6	10	11	6	4	6	5	8	11	10	6					
		0.55%	0.38%	0.40%	1.08%	0.32%	0.56%	0.37%	0.68%	0.81%	0.43%	0.24%	0.54%	0.46%	0.55%	0.81%	0.79%	0.45%					
21	. Путин Владимир Владимирович	13677	991	725	953	1105	925	1001	834	866	855	1008	644	607	830	850	718	765					
		62.08%	63.28%	71.92%	68.41%	69.76%	65.32%	61.90%	56.58%	63.77%	61.78%	61.61%	58.23%	55.84%	57.04%	62.82%	56.49%	57.74%					
22	. Хакамада Ирина Муцуовна	2486	216	74	126	150	96	168	162	109	166	171	181	137	197	140	152	241					
		11.28%	13.79%	7.34%	9.05%	9.47%	6.78%	10.39%	10.99%	8.03%	11.99%	10.45%	16.37%	12.60%	13.54%	10.35%	11.96%	18.19%					
23	. Харитонов Николай Михайлович	1910	92	73	84	94	132	155	163	132	108	193	69	127	126	136	147	79					
		8.67%	5.87%	7.24%	6.03%	5.93%	9.32%	9.59%	11.06%	9.72%	7.80%	11.80%	6.24%	11.68%	8.66%	10.05%	11.57%	5.96%					
																							
24	Против всех	1722	132	56	86	109	121	118	148	106	110	98	103	113	131	87	97	107					
		7.82%	8.43%	5.56%	6.17%	6.88%	8.55%	7.30%	10.04%	7.81%	7.95%	5.99%	9.31%	10.40%	9.00%	6.43%	7.63%	8.08%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
