Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Менделеевская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК  109	УИК  110	УИК  111	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976					
1	"Число избирателей, внесенных в список"	20363	154	488	712	912	1032	1052	876	943	895	806	995	936	737	814	433	901	989	930	171	153	205	277	418	287	123	326	256	473	277	114	291	412	256	491	614	196	418					
2	Число полученных избирательных бюллетеней	20495	156	500	700	910	1000	1045	865	950	900	800	1060	992	740	840	430	900	960	930	172	162	207	280	419	294	124	334	262	475	280	114	290	412	260	495	619	200	418					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19000	146	485	657	839	961	963	811	868	833	783	982	878	657	778	415	836	933	900	163	149	183	231	376	242	113	302	241	417	257	103	278	345	256	475	597	189	358					
5	"Число избирательных бюллетеней, выданных вне помещения"	850	8	3	23	34	29	38	29	28	30	13	13	32	21	16	5	16	9	21	8	4	22	46	42	45	10	24	15	56	20	11	12	67	0	16	17	7	60					
6	Число погашенных избирательных бюллетеней	645	2	12	20	37	10	44	25	54	37	4	65	82	62	46	10	48	18	9	1	9	2	3	1	7	1	8	6	2	3	0	0	0	4	4	5	4	0					
7	Число избирательных бюллетеней в переносных ящиках	850	8	3	23	34	29	38	29	28	30	13	13	32	21	16	5	16	9	21	8	4	22	46	42	45	10	24	15	56	20	11	12	67	0	16	17	7	60					
8	Число бюллетеней в стационарных ящиках для голосования	19000	146	485	657	839	961	963	811	868	833	783	982	878	657	778	415	836	933	900	163	149	183	231	376	242	113	302	241	417	257	103	278	345	256	475	597	189	358					
9	Число недействительных избирательных бюллетеней	29	0	0	0	8	2	1	1	0	0	4	2	0	4	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	19821	154	488	680	865	988	1000	839	896	863	792	993	910	674	792	420	852	938	921	171	153	205	277	418	287	123	326	256	473	277	114	289	412	256	491	614	196	418					
