Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Лермонтовская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	149	11	17	0	7	10	14	4	16	12	11	12	12	2	7	14									
		1.93%	2.19%	2.46%	0.00%	1.41%	2.06%	2.51%	0.73%	3.25%	2.18%	2.38%	2.45%	2.47%	0.39%	1.50%	2.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	241	13	21	16	19	15	12	18	20	12	16	16	13	18	11	21									
		3.12%	2.59%	3.04%	3.55%	3.84%	3.09%	2.15%	3.30%	4.06%	2.18%	3.46%	3.27%	2.67%	3.54%	2.36%	3.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	211	13	8	5	11	15	15	15	14	12	16	17	13	7	21	29									
		2.73%	2.59%	1.16%	1.11%	2.22%	3.09%	2.69%	2.75%	2.84%	2.18%	3.46%	3.48%	2.67%	1.38%	4.51%	5.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2691	160	352	176	161	170	181	183	177	194	142	152	142	182	152	167									
		34.83%	31.87%	50.94%	39.02%	32.53%	34.98%	32.50%	33.58%	35.90%	35.27%	30.67%	31.08%	29.22%	35.83%	32.62%	30.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	180	7	16	1	10	11	21	14	21	11	13	18	12	12	0	13									
		2.33%	1.39%	2.32%	0.22%	2.02%	2.26%	3.77%	2.57%	4.26%	2.00%	2.81%	3.68%	2.47%	2.36%	0.00%	2.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	2	0	0	1	0	1	0	0	0	0	0	0	1	1									
		0.09%	0.20%	0.29%	0.00%	0.00%	0.21%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1953	161	161	121	136	100	148	124	114	110	128	100	149	141	131	129									
		25.28%	32.07%	23.30%	26.83%	27.47%	20.58%	26.57%	22.75%	23.12%	20.00%	27.65%	20.45%	30.66%	27.76%	28.11%	23.71%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	83	6	4	2	6	5	7	6	5	3	7	11	1	9	7	4									
		1.07%	1.20%	0.58%	0.44%	1.21%	1.03%	1.26%	1.10%	1.01%	0.55%	1.51%	2.25%	0.21%	1.77%	1.50%	0.74%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	113	7	17	3	4	7	8	3	6	13	6	7	8	8	4	12									
		1.46%	1.39%	2.46%	0.67%	0.81%	1.44%	1.44%	0.55%	1.22%	2.36%	1.30%	1.43%	1.65%	1.57%	0.86%	2.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	1	0	1	0	1	1	2	1	1	2	1	0	1	0	1									
		0.17%	0.20%	0.00%	0.22%	0.00%	0.21%	0.18%	0.37%	0.20%	0.18%	0.43%	0.20%	0.00%	0.20%	0.00%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	156	9	10	2	6	8	18	9	9	17	9	21	7	5	11	15									
		2.02%	1.79%	1.45%	0.44%	1.21%	1.65%	3.23%	1.65%	1.83%	3.09%	1.94%	4.29%	1.44%	0.98%	2.36%	2.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1287	91	65	74	93	91	85	116	64	104	73	102	80	77	86	86									
		16.66%	18.13%	9.41%	16.41%	18.79%	18.72%	15.26%	21.28%	12.98%	18.91%	15.77%	20.86%	16.46%	15.16%	18.45%	15.81%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	1	0	0	1	2	5	4	1	1	5	1	4	1	2	1									
		0.38%	0.20%	0.00%	0.00%	0.20%	0.41%	0.90%	0.73%	0.20%	0.18%	1.08%	0.20%	0.82%	0.20%	0.43%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	375	14	12	25	26	31	30	25	30	41	23	20	28	28	17	25									
		4.85%	2.79%	1.74%	5.54%	5.25%	6.38%	5.39%	4.59%	6.09%	7.45%	4.97%	4.09%	5.76%	5.51%	3.65%	4.60%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
