Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Углегорская поселковая									
									
Итоги голосования 									
									
		Сумма	УИК №763	УИК №764					
1	"Число избирателей, внесенных в список"	3777	2268	1509					
2	Число полученных избирательных бюллетеней	4000	2300	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	136	6	130					
4	"Число избирательных бюллетеней, выданных в день голосования"	2721	1720	1001					
5	"Число избирательных бюллетеней, выданных вне помещения"	87	67	20					
6	Число погашенных избирательных бюллетеней	1056	507	549					
7	Число избирательных бюллетеней в переносных ящиках	223	73	150					
8	Число бюллетеней в стационарных ящиках для голосования	2720	1720	1000					
9	Число недействительных избирательных бюллетеней	13	8	5					
10	Число действительных избирательных бюллетеней	2930	1785	1145					
11	Число полученных открепительных  удостоверений	190	96	94					
12	Число выданных открепительных удостоверений	76	39	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	23	14					
14	Число неиспользованных открепительных удостоверений	114	57	57					
15	"Число открепительных удостоверений, выданных в ТИК"	10	4	6					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	90	55	35					
		3.06%	3.07%	3.04%					
19	. Малышкин Олег Александрович	95	59	36					
		3.23%	3.29%	3.13%					
20	. Миронов Сергей Михайлович	24	15	9					
		0.82%	0.84%	0.78%					
21	. Путин Владимир Владимирович	2306	1426	880					
		78.36%	79.53%	76.52%					
22	. Хакамада Ирина Муцуовна	88	45	43					
		2.99%	2.51%	3.74%					
23	. Харитонов Николай Михайлович	184	98	86					
		6.25%	5.47%	7.48%					
									
24	Против всех	143	87	56					
		4.86%	4.85%	4.87%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
