Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Прикубанская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186					
1	"Число избирателей, внесенных в список"	26310	2459	528	346	663	233	884	1242	263	225	548	812	1151	551	475	567	1033	663	849	1242	2609	369	2384	2890	3324					
2	Число полученных избирательных бюллетеней	25491	2403	513	330	654	227	874	1216	258	219	539	782	1104	528	458	553	1018	644	819	1198	2498	350	2339	2740	3227					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19511	2157	443	251	634	209	634	1073	212	199	531	453	597	433	342	425	709	399	510	749	1606	313	1486	1946	3200					
5	"Число избирательных бюллетеней, выданных вне помещения"	913	64	33	19	13	18	35	30	15	9	6	28	39	34	30	28	66	43	43	92	55	37	85	71	20					
6	Число погашенных избирательных бюллетеней	5067	182	37	60	7	0	205	113	31	11	2	301	468	61	86	100	243	202	266	357	837	0	768	723	7					
7	Число избирательных бюллетеней в переносных ящиках	913	64	33	19	13	18	35	30	15	9	6	28	39	34	30	28	66	43	43	92	55	37	85	71	20					
8	Число бюллетеней в стационарных ящиках для голосования	19508	2157	443	251	634	209	634	1073	212	199	531	453	597	433	342	425	709	399	510	749	1606	313	1486	1946	3197					
9	Число недействительных избирательных бюллетеней	144	12	2	6	0	0	1	29	3	1	1	1	13	4	5	1	8	6	7	8	0	1	16	17	2					
10	Число действительных избирательных бюллетеней	20277	2209	474	264	647	227	668	1074	224	207	536	480	623	463	367	452	767	436	546	833	1661	349	1555	2000	3215					
11	Число полученных открепительных  удостоверений	242	40	5	5	5	5	9	10	5	5	5	7	7	5	5	5	10	7	7	10	20	5	20	20	20					
12	Число выданных открепительных удостоверений	57	10	2	0	5	0	8	6	1	1	1	0	2	0	0	1	1	2	0	4	4	0	4	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	3	2	0	0	1	3	3	5	0	0	1	1	1	1	1	4	2	0	0	3	2	5	2	2					
14	Число неиспользованных открепительных удостоверений	185	30	3	5	0	5	1	4	4	4	4	7	5	5	5	4	9	5	7	6	16	5	16	19	16					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	354	32	8	3	0	0	37	15	0	1	3	17	9	7	13	10	15	7	12	14	41	4	41	52	13					
		1.73%	1.44%	1.68%	1.11%	0.00%	0.00%	5.53%	1.36%	0.00%	0.48%	0.56%	3.53%	1.42%	1.50%	3.49%	2.21%	1.94%	1.58%	2.17%	1.66%	2.47%	1.14%	2.61%	2.58%	0.40%					
19	. Малышкин Олег Александрович	124	22	0	6	4	0	16	7	0	0	0	3	8	1	7	0	6	2	6	2	7	1	15	6	5					
		0.61%	0.99%	0.00%	2.22%	0.62%	0.00%	2.39%	0.63%	0.00%	0.00%	0.00%	0.62%	1.26%	0.21%	1.88%	0.00%	0.77%	0.45%	1.08%	0.24%	0.42%	0.29%	0.95%	0.30%	0.16%					
20	. Миронов Сергей Михайлович	98	8	0	2	0	0	2	4	0	0	1	5	3	6	4	2	1	1	2	3	29	1	9	10	5					
		0.48%	0.36%	0.00%	0.74%	0.00%	0.00%	0.30%	0.36%	0.00%	0.00%	0.19%	1.04%	0.47%	1.28%	1.08%	0.44%	0.13%	0.23%	0.36%	0.36%	1.75%	0.29%	0.57%	0.50%	0.16%					
21	. Путин Владимир Владимирович	16417	1787	431	200	618	217	440	907	217	185	507	304	439	416	261	384	537	322	396	654	1205	323	1153	1512	3002					
		80.39%	80.46%	90.55%	74.07%	95.52%	95.59%	65.77%	82.23%	95.59%	88.94%	94.41%	63.20%	69.03%	89.08%	70.16%	84.77%	69.29%	72.85%	71.61%	77.76%	72.55%	92.29%	73.39%	74.96%	93.32%					
