Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Грибановская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538					
1	"Число избирателей, внесенных в список"	31121	2126	2619	1503	1678	2026	1453	801	174	1119	857	296	612	192	277	135	519	903	1788	915	2043	640	207	134	560	135	1042	157	1069	290	137	141	476	353	732	599	366	1685	362					
2	Число полученных избирательных бюллетеней	29510	1850	2270	1350	1600	1850	1300	700	176	1100	850	290	600	190	270	134	500	900	1700	900	2000	630	200	130	560	136	1000	160	1000	280	134	140	470	350	730	620	360	1700	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15818	891	881	618	785	741	574	335	126	782	465	197	348	137	232	104	361	458	820	451	1024	375	98	74	310	77	582	127	606	164	81	85	333	244	375	230	179	1236	312					
5	"Число избирательных бюллетеней, выданных вне помещения"	4956	273	329	157	187	172	136	176	14	140	224	55	110	27	19	22	89	250	220	136	285	166	79	41	171	45	150	18	172	69	36	42	90	77	231	296	120	90	42					
6	Число погашенных избирательных бюллетеней	8736	686	1060	575	628	937	590	189	36	178	161	38	142	26	19	8	50	192	660	313	691	89	23	15	79	14	268	15	222	47	17	13	47	29	124	94	61	374	26					
7	Число избирательных бюллетеней в переносных ящиках	4956	273	329	157	187	172	136	176	14	140	224	55	110	27	19	22	89	250	220	136	285	166	79	41	171	45	150	18	172	69	36	42	90	77	231	296	120	90	42					
8	Число бюллетеней в стационарных ящиках для голосования	15816	891	881	618	785	741	574	335	126	782	465	197	348	137	232	104	361	456	820	451	1024	375	98	74	310	77	582	127	606	164	81	85	333	244	375	230	179	1236	312					
9	Число недействительных избирательных бюллетеней	146	2	10	11	1	7	7	1	0	2	5	0	0	0	2	0	0	6	10	6	25	2	0	3	1	1	2	1	4	4	2	1	3	2	9	3	3	10	0					
10	Число действительных избирательных бюллетеней	20626	1162	1200	764	971	906	703	510	140	920	684	252	458	164	249	126	450	700	1030	581	1284	539	177	112	480	121	730	144	774	229	115	126	420	319	597	523	296	1316	354					
11	Число полученных открепительных  удостоверений	288	10	15	8	7	12	10	5	5	5	5	5	5	3	3	3	4	8	5	5	5	3	3	2	3	2	8	2	5	3	2	2	3	3	5	5	3	60	46					
12	Число выданных открепительных удостоверений	175	6	13	7	7	11	4	1	0	2	0	2	4	0	0	1	0	5	5	5	3	0	1	0	2	0	5	0	1	1	0	0	0	1	2	1	0	60	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	4	8	3	5	9	5	1	0	1	0	0	4	3	0	1	6	1	4	1	5	2	1	2	0	0	3	0	1	1	4	0	0	1	0	0	0	6	0					
14	Число неиспользованных открепительных удостоверений	113	4	2	1	0	1	6	4	5	3	5	3	1	3	3	2	4	3	0	0	2	3	2	2	1	2	3	2	4	2	2	2	3	2	3	4	3	0	21					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	357	32	43	12	25	33	14	8	1	9	12	2	7	1	4	3	4	19	14	6	14	3	4	0	9	0	20	0	6	3	2	0	11	4	5	4	3	18	2					
		1.72%	2.75%	3.55%	1.55%	2.57%	3.61%	1.97%	1.57%	0.71%	0.98%	1.74%	0.79%	1.53%	0.61%	1.59%	2.38%	0.89%	2.69%	1.35%	1.02%	1.07%	0.55%	2.26%	0.00%	1.87%	0.00%	2.73%	0.00%	0.77%	1.29%	1.71%	0.00%	2.60%	1.25%	0.83%	0.76%	1.00%	1.36%	0.56%					
19	. Малышкин Олег Александрович	437	22	42	14	27	17	29	9	1	9	12	10	15	2	1	2	10	5	22	11	26	7	1	0	12	1	11	5	7	2	2	7	14	5	13	11	3	40	10					
		2.10%	1.89%	3.47%	1.81%	2.78%	1.86%	4.08%	1.76%	0.71%	0.98%	1.74%	3.97%	3.28%	1.22%	0.40%	1.59%	2.22%	0.71%	2.12%	1.87%	1.99%	1.29%	0.56%	0.00%	2.49%	0.82%	1.50%	3.45%	0.90%	0.86%	1.71%	5.51%	3.31%	1.56%	2.15%	2.09%	1.00%	3.02%	2.82%					
20	. Миронов Сергей Михайлович	91	3	3	1	1	10	6	3	1	5	3	0	4	0	0	0	3	2	3	1	7	0	0	0	3	2	0	0	2	1	0	0	2	1	4	6	1	10	3					
		0.44%	0.26%	0.25%	0.13%	0.10%	1.10%	0.85%	0.59%	0.71%	0.54%	0.44%	0.00%	0.87%	0.00%	0.00%	0.00%	0.67%	0.28%	0.29%	0.17%	0.53%	0.00%	0.00%	0.00%	0.62%	1.64%	0.00%	0.00%	0.26%	0.43%	0.00%	0.00%	0.47%	0.31%	0.66%	1.14%	0.33%	0.75%	0.85%					
21	. Путин Владимир Владимирович	14254	626	704	493	650	567	434	371	103	735	495	197	313	90	186	96	307	392	752	400	720	458	148	93	322	95	535	120	646	148	68	53	336	247	405	323	218	1090	318					
		68.62%	53.78%	58.18%	63.61%	66.87%	62.10%	61.13%	72.60%	73.57%	79.72%	71.84%	78.17%	68.34%	54.88%	74.10%	76.19%	68.22%	55.52%	72.31%	68.14%	55.00%	84.66%	83.62%	80.87%	66.94%	77.87%	73.09%	82.76%	83.03%	63.52%	58.12%	41.73%	79.43%	76.95%	66.83%	61.41%	72.91%	82.20%	89.83%					
22	. Хакамада Ирина Муцуовна	209	6	11	8	11	9	1	5	0	6	22	13	5	2	3	2	3	5	6	3	15	2	1	0	5	2	4	2	4	1	2	1	4	6	15	4	3	10	7					
		1.01%	0.52%	0.91%	1.03%	1.13%	0.99%	0.14%	0.98%	0.00%	0.65%	3.19%	5.16%	1.09%	1.22%	1.20%	1.59%	0.67%	0.71%	0.58%	0.51%	1.15%	0.37%	0.56%	0.00%	1.04%	1.64%	0.55%	1.38%	0.51%	0.43%	1.71%	0.79%	0.95%	1.87%	2.48%	0.76%	1.00%	0.75%	1.98%					
23	. Харитонов Николай Михайлович	4931	457	372	222	238	250	193	107	30	149	125	15	110	67	44	22	121	266	224	156	487	66	23	19	123	20	150	17	103	73	41	60	50	53	145	167	67	93	6					
		23.74%	39.26%	30.74%	28.65%	24.49%	27.38%	27.18%	20.94%	21.43%	16.16%	18.14%	5.95%	24.02%	40.85%	17.53%	17.46%	26.89%	37.68%	21.54%	26.58%	37.20%	12.20%	12.99%	16.52%	25.57%	16.39%	20.49%	11.72%	13.24%	31.33%	35.04%	47.24%	11.82%	16.51%	23.93%	31.75%	22.41%	7.01%	1.69%					
																																													
24	Против всех	347	16	25	14	19	20	26	7	4	7	15	15	4	2	11	1	2	11	9	4	15	3	0	0	6	1	10	0	6	1	0	5	3	3	10	8	1	55	8					
		1.67%	1.37%	2.07%	1.81%	1.95%	2.19%	3.66%	1.37%	2.86%	0.76%	2.18%	5.95%	0.87%	1.22%	4.38%	0.79%	0.44%	1.56%	0.87%	0.68%	1.15%	0.55%	0.00%	0.00%	1.25%	0.82%	1.37%	0.00%	0.77%	0.43%	0.00%	3.94%	0.71%	0.93%	1.65%	1.52%	0.33%	4.15%	2.26%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
