Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Муромцевская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628					
		3.46%	2.27%	3.79%	2.15%	3.49%	6.30%	3.25%	2.75%	0.67%	3.73%	4.15%	0.00%	3.98%	2.30%	1.27%	1.95%	1.33%	4.13%	2.27%	3.07%	2.36%	7.78%	4.50%	3.17%	2.44%	5.08%	7.55%	7.76%	3.01%	3.09%	12.50%	12.24%	5.08%	4.55%	0.00%	4.33%	0.00%	4.32%	5.29%	1.69%	0.81%	4.88%	1.15%	2.17%	1.69%	5.00%	0.00%	3.25%	5.05%	4.26%	6.00%	3.64%	4.98%	2.83%	20.00%					
20	. Миронов Сергей Михайлович	82	3	1	2	1	0	4	9	1	4	2	0	4	6	0	0	0	2	2	1	0	0	5	1	1	0	0	4	0	1	2	0	1	0	0	1	0	0	0	0	8	2	0	1	1	0	0	3	1	0	3	5	0	0	0					
		0.52%	0.23%	0.10%	0.33%	0.15%	0.00%	0.50%	0.88%	0.67%	0.62%	0.69%	0.00%	1.06%	2.76%	0.00%	0.00%	0.00%	0.39%	0.57%	0.44%	0.00%	0.00%	1.73%	1.59%	0.14%	0.00%	0.00%	1.24%	0.00%	1.03%	2.78%	0.00%	0.20%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	1.62%	0.98%	0.00%	0.72%	0.42%	0.00%	0.00%	1.08%	1.01%	0.00%	2.00%	4.55%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9854	701	612	365	361	213	514	724	114	455	208	38	230	123	73	130	149	320	164	159	240	65	167	26	405	137	31	220	138	72	43	27	352	78	33	184	90	98	277	43	370	132	53	50	111	55	22	212	66	23	70	63	155	76	17					
		62.19%	54.77%	59.42%	60.33%	52.55%	53.65%	64.25%	71.19%	76.00%	70.65%	71.97%	82.61%	61.01%	56.68%	92.41%	63.41%	39.63%	62.99%	46.46%	69.74%	81.08%	72.22%	57.79%	41.27%	58.11%	77.40%	58.49%	68.32%	83.13%	74.23%	59.72%	55.10%	68.75%	50.65%	76.74%	46.82%	70.31%	60.49%	69.77%	72.88%	74.90%	64.39%	60.92%	36.23%	46.84%	68.75%	30.56%	76.53%	66.67%	48.94%	46.67%	57.27%	77.11%	71.70%	48.57%					
22	. Хакамада Ирина Муцуовна	250	23	17	8	15	7	17	6	3	6	5	0	11	6	0	6	8	19	4	5	3	0	4	1	16	4	0	6	2	1	0	2	7	3	0	7	3	4	1	0	6	1	0	0	2	0	0	2	0	1	3	0	4	0	1					
		1.58%	1.80%	1.65%	1.32%	2.18%	1.76%	2.12%	0.59%	2.00%	0.93%	1.73%	0.00%	2.92%	2.76%	0.00%	2.93%	2.13%	3.74%	1.13%	2.19%	1.01%	0.00%	1.38%	1.59%	2.30%	2.26%	0.00%	1.86%	1.20%	1.03%	0.00%	4.08%	1.37%	1.95%	0.00%	1.78%	2.34%	2.47%	0.25%	0.00%	1.21%	0.49%	0.00%	0.00%	0.84%	0.00%	0.00%	0.72%	0.00%	2.13%	2.00%	0.00%	1.99%	0.00%	2.86%					
23	. Харитонов Николай Михайлович	4481	454	319	192	260	132	201	221	28	139	54	5	90	66	4	54	202	128	155	53	36	16	83	31	226	25	16	57	13	19	14	13	97	55	10	172	34	48	86	14	92	52	29	81	104	21	48	46	21	18	62	35	18	26	6					
		28.28%	35.47%	30.97%	31.74%	37.85%	33.25%	25.12%	21.73%	18.67%	21.58%	18.69%	10.87%	23.87%	30.41%	5.06%	26.34%	53.72%	25.20%	43.91%	23.25%	12.16%	17.78%	28.72%	49.21%	32.42%	14.12%	30.19%	17.70%	7.83%	19.59%	19.44%	26.53%	18.95%	35.71%	23.26%	43.77%	26.56%	29.63%	21.66%	23.73%	18.62%	25.37%	33.33%	58.70%	43.88%	26.25%	66.67%	16.61%	21.21%	38.30%	41.33%	31.82%	8.96%	24.53%	17.14%					
																																																													
