Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Советская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138					
1	"Число избирателей, внесенных в список"	52510	203	2676	2423	2004	1432	1907	1314	2079	1750	1564	1351	1542	2397	1492	2298	1660	330	269	1945	2076	1433	591	544	1438	1637	2256	2472	158	541	873	1038	1913	2224	1314	1009	357					
2	Число полученных избирательных бюллетеней	52157	203	2670	2438	2000	1450	1810	1260	2061	1740	1551	1359	1428	2400	1500	2175	1660	331	269	2004	2090	1420	587	540	1460	1630	2248	2480	158	540	875	1000	1922	2233	1302	1015	348					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26544	146	1254	1199	922	731	873	664	1044	840	813	584	882	1202	707	1139	851	200	162	1679	954	674	375	248	695	647	1084	985	87	297	500	531	847	1302	745	483	198					
5	"Число избирательных бюллетеней, выданных вне помещения"	2663	0	75	77	188	41	167	74	61	97	101	134	41	98	79	82	36	0	17	1	90	100	36	65	36	71	51	47	16	21	63	91	229	93	119	127	39					
6	Число погашенных избирательных бюллетеней	22950	57	1341	1162	890	678	770	522	956	803	637	641	505	1100	714	954	773	131	90	324	1046	646	176	227	729	912	1113	1448	55	222	312	378	846	838	438	405	111					
7	Число избирательных бюллетеней в переносных ящиках	2663	0	75	77	188	41	167	74	61	97	101	134	41	98	79	82	36	0	17	1	90	100	36	65	36	71	51	47	16	21	63	91	229	93	119	127	39					
8	Число бюллетеней в стационарных ящиках для голосования	26529	146	1254	1185	922	731	873	664	1044	840	813	584	882	1202	707	1139	851	200	162	1679	954	673	375	248	695	647	1084	985	87	297	500	531	847	1302	745	483	198					
9	Число недействительных избирательных бюллетеней	194	2	10	22	8	7	1	1	3	6	7	6	10	11	5	7	4	1	2	8	6	4	1	9	6	1	6	5	0	0	9	9	3	6	5	2	1					
10	Число действительных избирательных бюллетеней	28998	144	1319	1240	1102	765	1039	737	1102	931	907	712	913	1289	781	1214	883	199	177	1672	1038	769	410	304	725	717	1129	1027	103	318	554	613	1073	1389	859	608	236					
11	Число полученных открепительных  удостоверений	291	0	5	12	10	13	8	7	8	8	7	7	5	13	10	13	7	0	1	1	10	5	12	3	7	3	10	14	3	5	4	12	19	10	17	17	5					
12	Число выданных открепительных удостоверений	270	0	5	12	10	13	8	5	8	8	5	5	5	13	10	13	7	0	1	1	10	2	12	0	7	1	10	14	1	1	4	12	19	10	16	17	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	150	0	2	2	2	2	1	3	2	5	3	1	58	14	2	4	1	0	0	0	7	8	1	5	0	0	7	2	1	0	5	5	1	1	2	2	1					
14	Число неиспользованных открепительных удостоверений	21	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	3	0	3	0	2	0	0	2	4	0	0	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	1	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
