Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Сосковская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784					
1	"Число избирателей, внесенных в список"	6207	190	187	302	397	376	245	437	209	287	333	257	198	550	167	1470	359	243					
2	Число полученных избирательных бюллетеней	6247	183	185	302	397	379	240	441	210	282	328	252	198	551	173	1493	372	261					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4438	142	163	148	387	334	162	418	208	243	230	178	138	405	89	856	145	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	1132	40	15	111	4	9	68	0	0	18	83	68	57	91	70	309	158	31					
6	Число погашенных избирательных бюллетеней	677	1	7	43	6	36	10	23	2	21	15	6	3	55	14	328	69	38					
7	Число избирательных бюллетеней в переносных ящиках	1132	40	15	111	4	9	68	0	0	18	83	68	57	91	70	309	158	31					
8	Число бюллетеней в стационарных ящиках для голосования	4438	142	163	148	387	334	162	418	208	243	230	178	138	405	89	856	145	192					
9	Число недействительных избирательных бюллетеней	31	4	0	0	10	4	2	0	0	2	2	0	0	0	1	5	0	1					
10	Число действительных избирательных бюллетеней	5539	178	178	259	381	339	228	418	208	259	311	246	195	496	158	1160	303	222					
11	Число полученных открепительных  удостоверений	99	4	4	4	4	4	4	4	4	4	4	4	4	5	4	34	4	4					
12	Число выданных открепительных удостоверений	52	0	0	0	4	1	1	2	0	0	0	0	3	4	1	34	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	4	1	2	3	3	3	1	1	4	6	3	3	6	1	16	2	6					
14	Число неиспользованных открепительных удостоверений	47	4	4	4	0	3	3	2	4	4	4	4	1	1	3	0	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	120	1	10	3	10	14	6	11	6	4	5	2	1	3	1	35	5	3					
		2.15%	0.55%	5.62%	1.16%	2.56%	4.08%	2.61%	2.63%	2.88%	1.53%	1.60%	0.81%	0.51%	0.60%	0.63%	3.00%	1.65%	1.35%					
19	. Малышкин Олег Александрович	110	0	7	8	4	3	4	13	5	9	1	3	2	13	6	29	3	0					
		1.97%	0.00%	3.93%	3.09%	1.02%	0.87%	1.74%	3.11%	2.40%	3.45%	0.32%	1.22%	1.03%	2.62%	3.77%	2.49%	0.99%	0.00%					
20	. Миронов Сергей Михайлович	35	0	1	2	3	3	3	2	1	0	1	1	0	2	3	12	1	0					
		0.63%	0.00%	0.56%	0.77%	0.77%	0.87%	1.30%	0.48%	0.48%	0.00%	0.32%	0.41%	0.00%	0.40%	1.89%	1.03%	0.33%	0.00%					
21	. Путин Владимир Владимирович	3360	130	120	188	233	236	160	263	100	100	196	155	119	267	98	709	174	112					
		60.32%	71.43%	67.42%	72.59%	59.59%	68.80%	69.57%	62.92%	48.08%	38.31%	62.62%	63.01%	61.03%	53.83%	61.64%	60.86%	57.43%	50.22%					
22	. Хакамада Ирина Муцуовна	84	1	4	1	3	2	3	9	2	6	1	2	2	12	2	22	9	3					
		1.51%	0.55%	2.25%	0.39%	0.77%	0.58%	1.30%	2.15%	0.96%	2.30%	0.32%	0.81%	1.03%	2.42%	1.26%	1.89%	2.97%	1.35%					
23	. Харитонов Николай Михайлович	1732	44	34	56	123	79	48	112	88	125	106	82	71	191	46	323	102	102					
		31.10%	24.18%	19.10%	21.62%	31.46%	23.03%	20.87%	26.79%	42.31%	47.89%	33.87%	33.33%	36.41%	38.51%	28.93%	27.73%	33.66%	45.74%					
																								
24	Против всех	98	2	2	1	5	2	4	8	6	15	1	1	0	8	2	30	9	2					
		1.76%	1.10%	1.12%	0.39%	1.28%	0.58%	1.74%	1.91%	2.88%	5.75%	0.32%	0.41%	0.00%	1.61%	1.26%	2.58%	2.97%	0.90%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
