Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Каргатская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382					
1	"Число избирателей, внесенных в список"	17291	2101	1483	1696	1024	1461	1600	933	279	113	150	116	71	167	273	68	126	383	408	59	294	143	440	76	43	72	543	147	512	123	110	365	183	338	216	168	731	126	150					
2	Число полученных избирательных бюллетеней	16930	2000	1400	1600	1000	1500	1500	925	280	120	155	120	85	170	265	70	125	385	405	60	295	140	445	80	45	75	530	145	520	125	110	360	180	345	225	175	700	125	145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9631	1021	631	796	398	587	672	551	174	74	122	75	70	122	191	63	103	210	323	42	197	104	295	61	34	36	364	113	305	104	105	263	124	313	131	127	508	103	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	1418	95	162	77	139	188	131	38	28	20	8	19	1	13	35	0	4	67	8	7	17	8	47	5	1	36	25	6	86	10	3	26	9	0	16	12	57	8	6					
6	Число погашенных избирательных бюллетеней	5881	884	607	727	463	725	697	336	78	26	25	26	14	35	39	7	18	108	74	11	81	28	103	14	10	3	141	26	129	11	2	71	47	32	78	36	135	14	20					
7	Число избирательных бюллетеней в переносных ящиках	1418	95	162	77	139	188	131	38	28	20	8	19	1	13	35	0	4	67	8	7	17	8	47	5	1	36	25	6	86	10	3	26	9	0	16	12	57	8	6					
8	Число бюллетеней в стационарных ящиках для голосования	9631	1021	631	796	398	587	672	551	174	74	122	75	70	122	191	63	103	210	323	42	197	104	295	61	34	36	364	113	305	104	105	263	124	313	131	127	508	103	119					
9	Число недействительных избирательных бюллетеней	147	13	9	12	4	7	9	9	3	5	2	1	1	1	8	0	0	11	7	0	1	0	2	0	1	0	8	4	6	1	0	3	3	2	2	1	7	1	3					
10	Число действительных избирательных бюллетеней	10902	1103	784	861	533	768	794	580	199	89	128	93	70	134	218	63	107	266	324	49	213	112	340	66	34	72	381	115	385	113	108	286	130	311	145	138	558	110	122					
11	Число полученных открепительных  удостоверений	136	10	10	10	10	10	10	3	2	2	2	2	3	2	2	2	2	3	2	2	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3	3	3	3	3					
12	Число выданных открепительных удостоверений	22	6	3	2	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	114	4	7	8	9	9	9	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	1	2	0	3	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	256	32	7	31	18	21	39	20	16	1	0	1	0	2	2	1	4	3	14	0	5	0	5	0	0	1	6	0	7	7	4	1	0	3	0	0	2	2	1					
		2.32%	2.87%	0.88%	3.55%	3.35%	2.71%	4.86%	3.40%	7.92%	1.06%	0.00%	1.06%	0.00%	1.48%	0.88%	1.59%	3.74%	1.08%	4.23%	0.00%	2.34%	0.00%	1.46%	0.00%	0.00%	1.39%	1.54%	0.00%	1.79%	6.14%	3.70%	0.35%	0.00%	0.96%	0.00%	0.00%	0.35%	1.80%	0.80%					
19	. Малышкин Олег Александрович	302	29	20	22	18	32	17	24	13	4	15	0	3	6	2	4	1	14	9	1	2	0	4	5	0	1	5	3	6	14	5	4	5	4	0	3	1	5	1					
