Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Зилаирская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  2356	УИК  2357	УИК  2358	УИК  2359	УИК  2360	УИК  2361	УИК  2362	УИК  2363	УИК  2364	УИК  2365	УИК  2366	УИК  2367	УИК  2368	УИК  2369	УИК  2370	УИК  2371	УИК  2372	УИК  2373	УИК  2374	УИК  2375	УИК  2376	УИК  2377	УИК  2378	УИК  2379	УИК  2380	УИК  2381	УИК  2382	УИК  2383	УИК  2384	УИК  2385	УИК  2386	УИК  2387	УИК  2388	УИК  2389					
1	"Число избирателей, внесенных в список"	12594	161	205	221	329	93	91	84	133	244	335	801	32	540	48	2314	868	106	98	37	117	1629	152	30	411	111	168	208	238	155	168	1366	330	548	223					
2	Число полученных избирательных бюллетеней	12605	163	205	220	325	95	92	85	133	245	330	790	35	530	50	2325	895	108	100	38	117	1650	160	32	410	110	170	215	230	160	167	1310	330	560	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12251	152	205	211	309	93	87	84	133	236	329	784	32	521	45	2276	864	104	90	37	115	1587	147	30	383	110	166	208	230	155	165	1278	330	543	212					
5	"Число избирательных бюллетеней, выданных вне помещения"	84	7	0	0	12	0	4	0	0	0	0	6	0	5	3	6	4	2	8	0	0	9	0	0	6	0	2	0	0	0	0	0	0	5	5					
6	Число погашенных избирательных бюллетеней	270	4	0	9	4	2	1	1	0	9	1	0	3	4	2	43	27	2	2	1	2	54	13	2	21	0	2	7	0	5	2	32	0	12	3					
7	Число избирательных бюллетеней в переносных ящиках	84	7	0	0	12	0	4	0	0	0	0	6	0	5	3	6	4	2	8	0	0	9	0	0	6	0	2	0	0	0	0	0	0	5	5					
8	Число бюллетеней в стационарных ящиках для голосования	12251	152	205	211	309	93	87	84	133	236	329	784	32	521	45	2276	864	104	90	37	115	1587	147	30	383	110	166	208	230	155	165	1278	330	543	212					
9	Число недействительных избирательных бюллетеней	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	12327	159	205	211	318	93	91	84	133	236	329	790	32	526	48	2282	866	106	98	37	115	1594	147	30	388	110	168	208	230	155	165	1278	330	548	217					
11	Число полученных открепительных  удостоверений	150	2	2	2	5	2	5	5	2	10	10	10	2	10	2	10	10	2	2	2	2	10	2	2	5	2	2	2	5	2	2	10	2	5	2					
12	Число выданных открепительных удостоверений	43	0	0	2	1	0	1	0	0	2	0	0	0	2	0	10	4	0	1	0	1	6	0	0	0	0	2	0	0	1	0	7	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0					
14	Число неиспользованных открепительных удостоверений	107	2	2	0	4	2	4	5	2	8	10	10	2	8	2	0	6	2	1	2	1	4	2	2	5	2	0	2	5	1	2	3	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	15	1	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	2	0	1	0					
		0.12%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.76%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.16%	0.00%	0.18%	0.00%					
19	. Малышкин Олег Александрович	24	0	0	0	0	1	0	0	0	0	1	0	2	1	0	5	0	1	0	0	1	5	1	0	1	0	0	0	0	0	1	2	0	2	0					
		0.19%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	6.25%	0.19%	0.00%	0.22%	0.00%	0.94%	0.00%	0.00%	0.87%	0.31%	0.68%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.16%	0.00%	0.36%	0.00%					
20	. Миронов Сергей Михайлович	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	2	0	1	0					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.16%	0.00%	0.18%	0.00%					
21	. Путин Владимир Владимирович	12119	156	205	207	317	88	90	83	133	231	325	781	29	516	47	2238	859	102	96	37	112	1562	143	30	377	110	165	205	229	152	158	1260	326	537	213					
		98.25%	98.11%	100.00%	98.10%	98.75%	94.62%	98.90%	98.81%	100.00%	97.88%	98.78%	98.86%	90.62%	98.10%	97.92%	98.07%	98.96%	96.23%	97.96%	100.00%	97.39%	97.87%	97.28%	100.00%	96.92%	100.00%	98.21%	98.56%	99.57%	98.06%	95.76%	98.59%	98.79%	97.99%	98.16%					
22	. Хакамада Ирина Муцуовна	18	1	0	0	0	0	0	0	0	0	1	0	0	2	1	3	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	2	1	1	0					
		0.15%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.38%	2.08%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.16%	0.30%	0.18%	0.00%					
23	. Харитонов Николай Михайлович	128	1	0	4	1	4	1	1	0	5	1	8	0	2	0	34	5	3	2	0	1	12	3	0	7	0	3	0	1	3	3	10	3	6	4					
		1.04%	0.63%	0.00%	1.90%	0.31%	4.30%	1.10%	1.19%	0.00%	2.12%	0.30%	1.01%	0.00%	0.38%	0.00%	1.49%	0.58%	2.83%	2.04%	0.00%	0.87%	0.75%	2.04%	0.00%	1.80%	0.00%	1.79%	0.00%	0.43%	1.94%	1.82%	0.78%	0.91%	1.09%	1.84%					
																																									
24	Против всех	14	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	6	0	0	0	0	0	3	0	0	0	0	0	0	0					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	3.12%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.87%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
