Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Ольская															
															
Итоги голосования 															
															
		Сумма	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78					
1	"Число избирателей, внесенных в список"	6787	244	101	504	374	1386	1750	1219	1209					
2	Число полученных избирательных бюллетеней	6708	233	100	501	371	1400	1765	1172	1166					
3	"Число избирательных бюллетеней, выданных  досрочно"	26	0	0	0	0	0	0	26	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3928	192	72	334	276	786	991	637	640					
5	"Число избирательных бюллетеней, выданных вне помещения"	115	12	0	9	9	8	17	12	48					
6	Число погашенных избирательных бюллетеней	2639	29	28	158	86	606	757	497	478					
7	Число избирательных бюллетеней в переносных ящиках	141	12	0	9	9	8	17	38	48					
8	Число бюллетеней в стационарных ящиках для голосования	3927	192	72	334	276	786	990	637	640					
9	Число недействительных избирательных бюллетеней	37	1	0	3	1	3	10	2	17					
10	Число действительных избирательных бюллетеней	4031	203	72	340	284	791	997	673	671					
11	Число полученных открепительных  удостоверений	195	15	10	20	20	30	40	30	30					
12	Число выданных открепительных удостоверений	21	0	0	6	3	5	4	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	0	0	2	3	3	1	3	3					
14	Число неиспользованных открепительных удостоверений	174	15	10	14	17	25	36	27	30					
15	"Число открепительных удостоверений, выданных в ТИК"	5	2	0	0	0	0	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	112	3	0	8	5	24	37	19	16					
		2.75%	1.47%	0.00%	2.33%	1.75%	3.02%	3.67%	2.81%	2.33%					
19	. Малышкин Олег Александрович	122	6	2	19	2	20	32	20	21					
		3.00%	2.94%	2.78%	5.54%	0.70%	2.52%	3.18%	2.96%	3.05%					
20	. Миронов Сергей Михайлович	18	0	0	2	1	5	6	2	2					
		0.44%	0.00%	0.00%	0.58%	0.35%	0.63%	0.60%	0.30%	0.29%					
21	. Путин Владимир Владимирович	3180	183	62	250	251	633	759	511	531					
		78.17%	89.71%	86.11%	72.89%	88.07%	79.72%	75.37%	75.70%	77.18%					
22	. Хакамада Ирина Муцуовна	156	4	4	11	1	30	42	36	28					
		3.83%	1.96%	5.56%	3.21%	0.35%	3.78%	4.17%	5.33%	4.07%					
23	. Харитонов Николай Михайлович	354	7	2	44	17	64	96	66	58					
		8.70%	3.43%	2.78%	12.83%	5.96%	8.06%	9.53%	9.78%	8.43%					
															
24	Против всех	89	0	2	6	7	15	25	19	15					
		2.19%	0.00%	2.78%	1.75%	2.46%	1.89%	2.48%	2.81%	2.18%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
