Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Верхнетоемская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268					
1	"Число избирателей, внесенных в список"	16275	246	236	282	76	645	125	452	314	186	92	206	140	1172	2136	2215	143	371	166	449	112	16	32	281	203	202	165	1358	92	108	255	392	80	708	139	546	58	38	790	476	291	281					
2	Число полученных избирательных бюллетеней	16500	250	250	290	75	700	120	470	330	180	95	210	140	1200	2200	2220	150	390	170	450	110	20	32	270	208	200	170	1370	90	110	250	390	75	680	130	600	55	40	800	450	290	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9565	134	160	174	46	347	100	299	185	123	70	110	81	696	1260	1258	87	212	109	222	84	16	25	155	128	146	111	786	69	64	172	202	66	438	75	279	30	34	430	260	152	170					
5	"Число избирательных бюллетеней, выданных вне помещения"	1005	4	2	12	7	86	0	12	9	6	0	8	22	72	102	28	3	50	21	58	1	0	0	38	13	14	0	100	0	17	14	34	5	33	40	82	18	0	40	39	15	0					
6	Число погашенных избирательных бюллетеней	5930	112	88	104	22	267	20	159	136	51	25	92	37	432	838	934	60	128	40	170	25	4	7	77	67	40	59	484	21	29	64	154	4	209	15	239	7	6	330	151	123	100					
7	Число избирательных бюллетеней в переносных ящиках	1005	4	2	12	7	86	0	12	9	6	0	8	22	72	102	28	3	50	21	58	1	0	0	38	13	14	0	100	0	17	14	34	5	33	40	82	18	0	40	39	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	9564	134	160	174	46	347	100	299	185	123	70	110	81	696	1260	1258	87	212	109	222	84	16	25	155	128	145	111	786	69	64	172	202	66	438	75	279	30	34	430	260	152	170					
9	Число недействительных избирательных бюллетеней	51	0	3	0	0	6	0	1	1	0	0	1	0	4	3	3	0	4	1	1	0	0	0	0	2	3	0	4	0	1	1	0	3	0	1	2	0	0	4	1	0	1					
10	Число действительных избирательных бюллетеней	10518	138	159	186	53	427	100	310	193	129	70	117	103	764	1359	1283	90	258	129	279	85	16	25	193	139	156	111	882	69	80	185	236	68	471	114	359	48	34	466	298	167	169					
11	Число полученных открепительных  удостоверений	377	5	5	10	3	20	5	5	5	5	5	5	5	20	25	25	5	10	10	15	5	3	3	5	5	5	5	25	5	5	10	10	5	20	5	15	5	3	20	20	5	5					
12	Число выданных открепительных удостоверений	69	0	0	1	0	2	0	1	3	1	1	3	0	4	14	8	2	1	1	2	1	0	0	0	2	0	2	8	1	0	0	0	0	2	0	0	2	1	4	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	2	0	2	2	0	0	0	1	3	0	0	2	3	8	11	0	2	1	2	0	0	0	1	0	1	1	2	1	4	0	1	1	0	0	1	3	0	1	3	1	1					
14	Число неиспользованных открепительных удостоверений	308	5	5	9	3	18	5	4	2	4	4	2	5	16	11	17	3	9	9	13	4	3	3	5	3	5	3	17	4	5	10	10	5	18	5	15	3	2	16	18	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
