Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Озерная поселковая 											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК №752	УИК №753	УИК №754	УИК №755					
1	"Число избирателей, внесенных в списки"	8892	2553	2516	2247	1576					
2	"Число бюллетеней, полученных участковыми комиссиями"	7980	2310	2270	2040	1360					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5440	1621	1477	1383	959					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	276	25	40	39	172					
6	Число погашенных бюллетеней	2264	664	753	618	229					
7	Число бюллетеней в переносных ящиках для голосования	276	25	40	39	172					
8	Число бюллетеней в стационарных ящиках для голосования	5430	1612	1476	1383	959					
9	Число недействительных бюллетеней	58	20	18	12	8					
10	Число действительных бюллетеней	5648	1617	1498	1410	1123					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	690	190	200	200	100					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	18	16	25	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	5	6	6	4					
14	Число погашенных открепительных удостоверений	609	172	184	175	78					
15	Число открепительных удостоверений выданных ТИК	6	1	2	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	341	89	107	97	48					
		5.97%	5.43%	7.05%	6.82%	4.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	26	35	35	30					
		2.20%	1.58%	2.30%	2.46%	2.65%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	116	43	29	27	17					
		2.03%	2.62%	1.91%	1.89%	1.50%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	142	44	41	33	24					
		2.48%	2.68%	2.70%	2.32%	2.12%					
22	"5. ""За Русь Святую"""	22	9	4	5	4					
		0.38%	0.54%	0.26%	0.35%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	2	1	6	1					
		0.17%	0.12%	0.06%	0.42%	0.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	11	14	19	20					
		1.12%	0.67%	0.92%	1.33%	1.76%					
25	"8. ""Народно-республиканская партия России"""	7	2	3	0	2					
		0.12%	0.12%	0.19%	0.0%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	5	5	9	9					
		0.49%	0.30%	0.32%	0.63%	0.79%					
27	"10. ""Аграрная партия России"""	137	51	31	40	15					
		2.40%	3.11%	2.04%	2.81%	1.32%					
28	"11. ""Истинные патриоты России"""	26	2	1	1	22					
		0.45%	0.12%	0.06%	0.07%	1.94%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	61	17	19	14	11					
		1.06%	1.03%	1.25%	0.98%	0.97%					
30	"13. ""Демократическая партия России"""	8	2	1	2	3					
		0.14%	0.12%	0.06%	0.14%	0.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	1	2	0	2					
		0.08%	0.06%	0.13%	0.0%	0.17%					
32	"15. ""Партия СЛОН"""	10	1	4	3	2					
		0.17%	0.06%	0.26%	0.21%	0.17%					
33	"16. ""Родина"" (народно-патриотический союз)"""	444	174	100	110	60					
		7.78%	10.62%	6.59%	7.73%	5.30%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	4	2	3	6					
		0.26%	0.24%	0.13%	0.21%	0.53%					
35	"18. ""ЛДПР"""	885	178	241	216	250					
		15.50%	10.87%	15.89%	15.18%	22.10%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	61	26	8	15	12					
		1.06%	1.58%	0.52%	1.05%	1.06%					
37	"20. ""Политическая партия ""Единая Россия"""	2390	714	680	568	428					
		41.88%	43.61%	44.85%	39.94%	37.84%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	1	4	0					
		0.08%	0.0%	0.06%	0.28%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	3	2	3	6					
		0.24%	0.18%	0.13%	0.21%	0.53%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	331	98	67	103	63					
		5.80%	5.98%	4.41%	7.24%	5.57%					
											
41	Против всех	400	115	100	97	88					
		7.01%	7.02%	6.59%	6.82%	7.78%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
