Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Тоцкая																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	138	3	6	9	11	10	1	8	4	7	6	8	14	10	4	4	0	0	1	2	6	0	0	0	6	0	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	3	2	1	4	0					
		0.78%	0.41%	1.03%	1.14%	1.62%	1.39%	1.00%	0.85%	0.52%	0.90%	0.54%	0.88%	1.34%	1.01%	0.61%	0.55%	0.00%	0.00%	0.44%	1.44%	1.62%	0.00%	0.00%	0.00%	1.72%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	1.18%	0.43%	0.75%	2.68%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7909	351	248	256	237	306	55	399	319	360	533	440	632	531	214	355	175	89	103	55	136	13	43	82	135	43	64	5	12	116	67	69	55	85	72	61	90	52	291	73	39	83	97	91	189	44	66	78					
		44.43%	47.82%	42.47%	32.32%	34.80%	42.62%	55.00%	42.58%	41.54%	46.09%	48.28%	48.35%	60.59%	53.42%	32.67%	48.50%	64.81%	49.72%	45.78%	39.57%	36.66%	18.57%	38.05%	39.05%	38.68%	51.19%	32.00%	10.20%	27.91%	43.77%	41.88%	43.67%	38.19%	30.25%	37.50%	50.41%	60.00%	44.44%	52.53%	72.28%	67.24%	40.10%	39.75%	35.83%	40.38%	33.08%	44.30%	36.79%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	69	2	3	1	1	2	1	3	5	5	4	8	2	7	2	1	1	0	2	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	1	1	2	1	1	0					
		0.39%	0.27%	0.51%	0.13%	0.15%	0.28%	1.00%	0.32%	0.65%	0.64%	0.36%	0.88%	0.19%	0.70%	0.31%	0.14%	0.37%	0.00%	0.89%	0.72%	0.00%	0.00%	0.88%	0.00%	1.43%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.85%	0.54%	0.00%	0.00%	0.00%	0.41%	0.39%	0.43%	0.75%	0.67%	0.00%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
