Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Магаданская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178					
1	"Число избирателей, внесенных в список"	79755	2227	2208	2134	1718	1858	1891	687	2178	2462	1893	2644	1591	2346	2743	2432	2513	1910	1518	814	859	2137	2341	1859	1211	2399	2221	657	1543	2348	2310	2387	2278	2504	2407	301	291	617	1133	429	1202	2061	1664	1459	2129	309	156	28	3	29	25	87	42	28	92	29	29	92	19	6	41	35	3	15	71	91	11					
2	Число полученных избирательных бюллетеней	78641	2219	1765	2098	1704	1864	1866	665	2165	2480	1888	2669	1595	2313	2660	2389	2486	1903	1509	766	843	2142	2410	1869	1192	2356	2203	644	1543	2325	2314	2387	2205	2483	2104	303	292	622	1142	425	1284	2054	1648	1456	2095	320	200	28	3	29	25	87	42	28	92	29	29	92	19	6	41	35	3	15	71	91	11					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47029	1383	1506	1288	1024	1141	1140	403	1305	1507	1087	1520	949	1337	1632	1454	1501	1164	859	402	464	1127	1324	1150	539	1515	1127	302	981	1430	1356	1369	1282	1408	1433	267	159	278	625	185	713	1259	951	898	1246	127	140	28	3	29	25	87	42	28	92	29	29	89	19	6	41	35	3	15	70	91	11					
5	"Число избирательных бюллетеней, выданных вне помещения"	1192	22	30	26	12	23	40	13	23	58	22	41	24	24	18	39	24	13	20	63	6	25	32	24	25	9	29	13	10	15	24	19	28	10	17	0	7	49	13	103	16	16	19	25	11	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	30409	814	229	784	668	700	686	249	837	915	779	1108	622	952	1010	896	961	726	630	301	373	990	1054	695	628	832	1047	329	552	880	934	999	895	1065	654	36	126	295	504	137	555	779	678	533	827	82	59	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1192	22	30	26	12	23	40	13	23	58	22	41	24	24	18	39	24	13	20	63	6	25	32	24	25	9	29	13	10	15	24	19	28	10	17	0	7	49	13	103	16	16	19	25	11	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	46998	1377	1505	1288	1020	1139	1139	403	1305	1506	1087	1520	949	1336	1630	1454	1501	1163	859	402	464	1127	1324	1150	539	1511	1126	302	981	1426	1354	1369	1282	1408	1433	267	159	278	625	185	713	1259	951	898	1245	127	140	28	3	29	25	87	42	28	92	29	29	89	19	6	41	35	3	15	70	91	11					
9	Число недействительных избирательных бюллетеней	178	2	2	0	4	3	3	0	0	5	2	5	3	5	3	10	7	9	2	5	5	1	3	7	2	6	5	1	5	2	4	4	7	5	13	0	2	1	2	5	2	8	4	2	2	1	5	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	48012	1397	1533	1314	1028	1159	1176	416	1328	1559	1107	1556	970	1355	1645	1483	1518	1167	877	460	465	1151	1353	1167	562	1514	1150	314	986	1439	1374	1384	1303	1413	1437	267	164	326	636	283	727	1267	966	921	1254	237	136	27	3	29	25	87	42	28	92	29	28	87	19	6	41	35	3	15	70	91	11					
11	Число полученных открепительных  удостоверений	1183	35	48	35	20	20	20	15	35	35	20	20	20	35	35	35	35	20	20	15	15	35	35	35	20	35	35	15	20	35	35	35	35	35	35	15	15	15	20	15	20	35	20	20	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	231	6	6	11	4	9	5	2	6	7	3	8	4	6	7	4	4	4	4	1	4	7	7	3	1	9	1	0	4	6	5	9	4	3	24	0	1	2	4	0	9	6	8	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	196	3	24	8	6	9	13	3	8	9	4	2	3	2	2	4	1	1	4	1	0	2	3	6	1	5	0	2	3	5	11	4	6	6	1	0	0	2	2	0	3	9	1	4	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	952	29	42	24	16	11	15	13	29	28	17	12	16	29	28	31	31	16	16	14	11	28	28	32	19	26	34	15	16	29	30	26	31	32	11	15	14	13	16	15	11	29	12	16	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	1	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
