Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Звездная поселковая													
													
Итоги голосования 													
													
		Сумма	УИК  4501	УИК  4502	УИК  4503	УИК  4504	УИК  4505	УИК  4506					
1	"Число избирателей, внесенных в список"	6639	1109	1191	1145	1098	1397	699					
2	Число полученных избирательных бюллетеней	5900	900	1000	1000	900	1200	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	57	3	2	4	7	41	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3913	646	699	680	656	817	415					
5	"Число избирательных бюллетеней, выданных вне помещения"	323	8	2	6	8	18	281					
6	Число погашенных избирательных бюллетеней	1607	243	297	310	229	324	204					
7	Число избирательных бюллетеней в переносных ящиках	380	11	4	10	15	59	281					
8	Число бюллетеней в стационарных ящиках для голосования	3913	646	699	680	656	817	415					
9	Число недействительных избирательных бюллетеней	18	3	3	6	1	4	1					
10	Число действительных избирательных бюллетеней	4275	654	700	684	670	872	695					
11	Число полученных открепительных  удостоверений	738	22	20	28	20	20	628					
12	Число выданных открепительных удостоверений	698	22	9	24	19	11	613					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	4	2	1	8	15	9					
14	Число неиспользованных открепительных удостоверений	40	0	11	4	1	9	15					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	12	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	123	24	21	30	23	25	0					
		2.87%	3.65%	2.99%	4.35%	3.43%	2.85%	0.00%					
19	. Малышкин Олег Александрович	121	18	26	17	21	28	11					
		2.82%	2.74%	3.70%	2.46%	3.13%	3.20%	1.58%					
20	. Миронов Сергей Михайлович	40	0	8	8	13	8	3					
		0.93%	0.00%	1.14%	1.16%	1.94%	0.91%	0.43%					
21	. Путин Владимир Владимирович	3353	495	517	519	510	685	627					
		78.10%	75.34%	73.54%	75.22%	76.01%	78.20%	90.09%					
22	. Хакамада Ирина Муцуовна	232	45	48	40	33	43	23					
		5.40%	6.85%	6.83%	5.80%	4.92%	4.91%	3.30%					
23	. Харитонов Николай Михайлович	221	46	49	39	43	35	9					
		5.15%	7.00%	6.97%	5.65%	6.41%	4.00%	1.29%					
													
24	Против всех	185	26	31	31	27	48	22					
		4.31%	3.96%	4.41%	4.49%	4.02%	5.48%	3.16%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
