Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Вохомская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
1	"Число избирателей, внесенных в список"	10052	1897	1584	157	104	506	469	341	133	209	294	116	166	109	236	153	259	162	312	87	241	426	575	217	191	209	151	282	466					
2	Число полученных избирательных бюллетеней	10085	1866	1592	158	107	508	472	341	134	210	295	119	170	114	239	154	260	163	318	89	240	427	580	217	195	207	152	289	469					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5542	1003	869	127	82	245	207	200	92	118	137	74	90	61	153	78	118	83	142	52	150	228	374	124	105	128	112	156	234					
5	"Число избирательных бюллетеней, выданных вне помещения"	1397	97	46	15	5	97	147	46	31	43	80	14	36	39	48	38	85	52	91	7	51	80	47	19	56	43	6	35	43					
6	Число погашенных избирательных бюллетеней	3146	766	677	16	20	166	118	95	11	49	78	31	44	14	38	38	57	28	85	30	39	119	159	74	34	36	34	98	192					
7	Число избирательных бюллетеней в переносных ящиках	1397	97	46	15	5	97	147	46	31	43	80	14	36	39	48	38	85	52	91	7	51	80	47	19	56	43	6	35	43					
8	Число бюллетеней в стационарных ящиках для голосования	5542	1003	869	127	82	245	207	200	92	118	137	74	90	61	153	78	118	83	142	52	150	228	374	124	105	128	112	156	234					
9	Число недействительных избирательных бюллетеней	36	4	6	0	0	3	1	1	0	0	0	0	0	0	0	0	2	1	0	0	2	2	6	0	1	1	2	2	2					
10	Число действительных избирательных бюллетеней	6903	1096	909	142	87	339	353	245	123	161	217	88	126	100	201	116	201	134	233	59	199	306	415	143	160	170	116	189	275					
11	Число полученных открепительных  удостоверений	175	20	17	3	3	4	5	5	3	5	5	3	4	5	5	4	5	3	15	3	4	6	16	5	5	5	5	6	6					
12	Число выданных открепительных удостоверений	78	7	8	0	0	2	5	3	1	1	4	0	2	4	2	1	0	0	10	0	2	6	13	4	0	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	12	5	1	0	2	3	0	1	0	0	0	0	1	0	1	0	1	2	1	3	2	2	0	0	2	1	0	1					
14	Число неиспользованных открепительных удостоверений	97	13	9	3	3	2	0	2	2	4	1	3	2	1	3	3	5	3	5	3	2	0	3	1	5	5	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	163	32	33	1	0	4	5	6	3	1	4	3	2	6	6	3	4	2	4	1	5	7	13	4	0	4	2	2	6					
		2.35%	2.91%	3.61%	0.70%	0.00%	1.17%	1.41%	2.44%	2.44%	0.62%	1.84%	3.41%	1.59%	6.00%	2.99%	2.59%	1.97%	1.48%	1.72%	1.69%	2.49%	2.27%	3.09%	2.80%	0.00%	2.34%	1.69%	1.05%	2.17%					
19	. Малышкин Олег Александрович	172	20	12	2	0	6	22	6	8	2	7	1	3	0	9	3	6	1	10	4	2	8	15	4	1	4	2	4	10					
