Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Краснокамская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740					
1	"Число избирателей, внесенных в список"	55779	582	2164	1901	1960	1401	1850	1557	1940	1908	1654	1943	1973	1735	2011	1987	1354	1098	1343	1675	1958	1694	1716	2371	1175	409	1729	1332	2188	2224	418	460	786	293	302	182	1200	1157	104	337	1708					
2	Число полученных избирательных бюллетеней	51441	570	2010	1700	1800	1300	1700	1400	1800	1750	1500	1700	1800	1600	1850	1800	1250	1010	1150	1550	1800	1550	1600	2150	1050	400	1650	1500	2000	2000	410	430	750	280	200	180	1100	1150	121	330	1550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29617	321	1070	1113	1079	851	1080	960	1167	1104	849	1049	927	971	975	1117	649	430	722	899	977	846	753	1125	471	212	1076	711	1387	1244	226	206	415	167	130	96	569	628	72	168	805					
5	"Число избирательных бюллетеней, выданных вне помещения"	1935	8	43	55	33	31	24	40	44	57	48	169	20	48	41	56	35	27	96	27	14	29	59	61	15	12	73	160	35	67	29	45	73	23	41	20	63	103	16	38	57					
6	Число погашенных избирательных бюллетеней	19889	241	897	532	688	418	596	400	589	589	603	482	853	581	834	627	566	553	332	624	809	675	788	964	564	176	501	629	578	689	155	179	262	90	29	64	468	419	33	124	688					
7	Число избирательных бюллетеней в переносных ящиках	1935	8	43	55	33	31	24	40	44	57	48	169	20	48	41	56	35	27	96	27	14	29	59	61	15	12	73	160	35	67	29	45	73	23	41	20	63	103	16	38	57					
8	Число бюллетеней в стационарных ящиках для голосования	29615	321	1070	1112	1079	851	1080	960	1167	1104	849	1049	927	971	974	1117	649	430	722	899	977	846	753	1125	471	212	1076	711	1387	1244	226	206	415	167	130	96	569	628	72	168	805					
9	Число недействительных избирательных бюллетеней	287	2	9	8	9	12	16	2	12	2	8	10	2	9	13	1	4	5	4	7	10	4	11	16	9	3	8	34	14	15	2	2	6	0	1	0	6	4	1	5	1					
10	Число действительных избирательных бюллетеней	31263	327	1104	1159	1103	870	1088	998	1199	1159	889	1208	945	1010	1002	1172	680	452	814	919	981	871	801	1170	477	221	1141	837	1408	1296	253	249	482	190	170	116	626	727	87	201	861					
