Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Овюрская													
													
Итоги голосования 													
													
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
1	"Число избирателей, внесенных в список"	3941	228	415	489	1583	622	604					
2	Число полученных избирательных бюллетеней	3990	240	430	500	1600	620	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	532	56	122	119	42	130	63					
4	"Число избирательных бюллетеней, выданных в день голосования"	2718	168	274	325	1093	430	428					
5	"Число избирательных бюллетеней, выданных вне помещения"	137	0	0	7	77	7	46					
6	Число погашенных избирательных бюллетеней	603	16	34	49	388	53	63					
7	Число избирательных бюллетеней в переносных ящиках	669	56	122	126	119	137	109					
8	Число бюллетеней в стационарных ящиках для голосования	2718	168	274	325	1093	430	428					
9	Число недействительных избирательных бюллетеней	50	0	2	6	34	6	2					
10	Число действительных избирательных бюллетеней	3337	224	394	445	1178	561	535					
11	Число полученных открепительных  удостоверений	90	10	10	15	30	10	15					
12	Число выданных открепительных удостоверений	37	0	0	0	29	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	0	3	1	13	2	7					
14	Число неиспользованных открепительных удостоверений	53	10	10	15	1	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	18	0	0	0	13	4	1					
		0.53%	0.00%	0.00%	0.00%	1.07%	0.71%	0.19%					
19	. Малышкин Олег Александрович	10	1	4	3	0	1	1					
		0.30%	0.45%	1.01%	0.67%	0.00%	0.18%	0.19%					
20	. Миронов Сергей Михайлович	16	1	5	1	3	3	3					
		0.47%	0.45%	1.26%	0.22%	0.25%	0.53%	0.56%					
21	. Путин Владимир Владимирович	3151	209	365	422	1094	546	515					
		93.03%	93.30%	92.17%	93.57%	90.26%	96.30%	95.90%					
22	. Хакамада Ирина Муцуовна	37	2	4	6	20	3	2					
		1.09%	0.89%	1.01%	1.33%	1.65%	0.53%	0.37%					
23	. Харитонов Николай Михайлович	99	8	16	13	46	3	13					
		2.92%	3.57%	4.04%	2.88%	3.80%	0.53%	2.42%					
													
24	Против всех	6	3	0	0	2	1	0					
		0.18%	1.34%	0.00%	0.00%	0.17%	0.18%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
