Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Бугульминская городская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140					
1	"Число избирателей, внесенных в список"	65875	1201	1639	1220	1040	824	1525	1713	1010	1362	1325	1399	1907	1090	1464	1692	1188	1931	1288	1448	1410	1270	1207	1072	1083	1129	1074	921	1048	1197	1083	1014	1041	1229	1043	1077	1043	1689	1408	1221	1115	1249	1132	948	1077	1472	1440	912	1303	1946	1683	1366	447	260					
2	Число полученных избирательных бюллетеней	66842	1202	1622	1257	1047	829	1539	1722	1042	1379	1315	1400	1937	1106	1465	1702	1147	1916	1289	1522	1562	1303	1192	1054	1065	1114	1132	913	1046	1192	1092	1074	1047	1272	1102	1170	1082	1703	1462	1242	1079	1298	1158	956	1069	1522	1482	905	1307	1975	1710	1362	502	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	50687	1006	1092	904	798	584	1062	1359	738	918	1127	1032	1620	910	930	1333	876	1347	998	996	1228	928	857	751	756	876	862	731	827	931	844	916	870	986	755	833	773	1217	1038	1043	841	972	930	766	681	1128	1131	709	976	1705	1485	1004	447	260					
5	"Число избирательных бюллетеней, выданных вне помещения"	3841	111	63	239	47	53	96	48	67	117	76	87	52	12	165	120	55	72	111	96	75	40	40	59	60	54	80	55	78	48	55	45	59	65	109	95	147	63	75	47	67	62	73	61	85	80	51	17	52	109	90	58	0	0					
6	Число погашенных избирательных бюллетеней	12314	85	467	114	202	192	381	315	237	344	112	281	265	184	370	249	216	497	180	430	259	335	295	244	249	184	190	127	141	213	193	113	118	221	238	242	162	423	349	152	171	264	155	129	303	314	300	179	279	161	135	300	55	0					
7	Число избирательных бюллетеней в переносных ящиках	3841	111	63	239	47	53	96	48	67	117	76	87	52	12	165	120	55	72	111	96	75	40	40	59	60	54	80	55	78	48	55	45	59	65	109	95	147	63	75	47	67	62	73	61	85	80	51	17	52	109	90	58	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	50659	1006	1083	904	798	584	1062	1359	738	918	1127	1032	1620	910	930	1326	876	1347	998	996	1228	928	857	751	749	876	862	731	827	931	844	916	870	986	755	833	773	1214	1038	1043	841	972	930	766	679	1128	1131	709	976	1705	1485	1004	447	260					
9	Число недействительных избирательных бюллетеней	617	5	16	10	11	7	16	19	15	14	15	21	10	9	23	8	12	7	2	3	0	17	9	4	6	0	18	16	19	17	0	22	14	8	3	8	7	33	29	13	10	0	4	0	12	7	6	12	13	44	6	37	0	0					
10	Число действительных избирательных бюллетеней	53883	1112	1130	1133	834	630	1142	1388	790	1021	1188	1098	1662	913	1072	1438	919	1412	1107	1089	1303	951	888	806	803	930	924	770	886	962	899	939	915	1043	861	920	913	1244	1084	1077	898	1034	999	827	752	1201	1176	714	1015	1770	1569	1025	447	260					
11	Число полученных открепительных  удостоверений	1284	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	34	25	25	0	0					
12	Число выданных открепительных удостоверений	743	12	12	9	2	6	20	25	15	13	10	20	19	7	14	7	9	17	13	14	11	18	18	17	14	23	16	6	9	23	25	11	10	21	17	14	13	12	16	10	10	11	10	8	13	19	20	8	23	32	24	17	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	648	1	3	2	0	0	8	0	4	3	4	9	19	1	3	2	9	1	2	3	9	7	6	2	3	3	2	2	4	1	1	4	6	1	6	0	2	6	7	5	4	7	3	4	6	6	6	2	5	8	2	3	295	146					
14	Число неиспользованных открепительных удостоверений	541	13	13	16	23	19	5	0	10	12	15	5	6	18	11	18	16	8	12	11	14	7	7	8	11	2	9	19	16	2	0	14	15	4	8	11	12	13	9	15	15	14	15	17	12	6	5	17	2	2	1	8	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
