Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Усть-Кубинская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
1	"Число избирателей, внесенных в список избирателей"	7070	1857	1342	222	207	382	118	420	238	443	216	724	393	179	329					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7084	1840	1342	222	207	391	120	418	236	444	213	734	412	176	329					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4220	1235	911	144	129	178	54	257	77	236	123	389	228	69	190					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	827	119	56	16	23	99	20	42	76	72	27	130	44	40	63					
6	Число погашенных избирательных бюллетеней	2037	486	375	62	55	114	46	119	83	136	63	215	140	67	76					
7	Число избирательных бюллетеней в переносных ящиках для голосования	827	119	56	16	23	99	20	42	76	72	27	130	44	40	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4220	1235	911	144	129	178	54	257	77	236	123	389	228	69	190					
9	Число недействительных избирательных бюллетеней	91	25	11	6	0	4	3	11	2	2	4	8	7	3	5					
10	Число действительных избирательных бюллетеней	4956	1329	956	154	152	273	71	288	151	306	146	511	265	106	248					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	425	50	50	10	25	30	20	40	30	25	30	40	20	20	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	274	47	44	10	16	27	11	11	9	25	19	20	16	6	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	44	23	4	8	12	6	9	6	10	6	10	5	10	3					
14	Число погашенных неиспользованных открепительных удостоверений	151	3	6	0	9	3	9	29	21	0	11	20	4	14	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	91	11	9	0	2	13	5	10	7	10	9	6	3	4	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1327	464	304	44	27	34	16	57	38	65	20	109	88	16	45					
		26.29%	34.27%	31.44%	27.50%	17.76%	12.27%	21.62%	19.06%	24.84%	21.10%	13.33%	21.00%	32.35%	14.68%	17.79%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	614	127	103	16	26	63	10	35	17	32	9	87	39	8	42					
		12.17%	9.38%	10.65%	10.00%	17.11%	22.74%	13.51%	11.71%	11.11%	10.39%	6.00%	16.76%	14.34%	7.34%	16.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	15	5	1	0	2	0	0	1	4	1	1	2	0	0					
		0.63%	1.11%	0.52%	0.63%	0.00%	0.72%	0.00%	0.00%	0.65%	1.30%	0.67%	0.19%	0.74%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	611	176	125	30	9	32	5	25	18	31	17	61	50	5	27					
		12.11%	12.99%	12.93%	18.75%	5.92%	11.55%	6.76%	8.36%	11.76%	10.06%	11.33%	11.75%	18.38%	4.59%	10.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	68	33	13	1	4	1	0	1	1	4	1	6	2	0	1					
		1.35%	2.44%	1.34%	0.63%	2.63%	0.36%	0.00%	0.33%	0.65%	1.30%	0.67%	1.16%	0.74%	0.00%	0.40%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2277	505	401	62	85	139	40	170	74	167	98	247	83	75	131					
		45.12%	37.30%	41.47%	38.75%	55.92%	50.18%	54.05%	56.86%	48.37%	54.22%	65.33%	47.59%	30.51%	68.81%	51.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	27	9	5	0	1	2	0	0	2	3	0	0	1	2	2					
		0.53%	0.66%	0.52%	0.00%	0.66%	0.72%	0.00%	0.00%	1.31%	0.97%	0.00%	0.00%	0.37%	1.83%	0.79%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
