Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Красногорская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677					
1	"Число избирателей, внесенных в список"	12976	1146	1410	703	794	1286	124	110	357	110	571	248	344	422	386	800	375	243	480	88	440	897	190	98	293	300	115	518	128					
2	Число полученных избирательных бюллетеней	13079	1148	1407	719	798	1332	127	107	358	109	571	251	345	418	379	796	376	239	489	87	451	937	197	98	293	303	111	502	131					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8672	599	814	371	495	695	115	100	231	96	455	187	223	259	282	551	313	166	371	87	362	597	134	77	255	186	95	442	114					
5	"Число избирательных бюллетеней, выданных вне помещения"	470	51	79	6	15	71	0	3	0	0	14	23	43	28	30	19	0	13	11	0	0	15	0	5	0	44	0	0	0					
6	Число погашенных избирательных бюллетеней	3937	498	514	342	288	566	12	4	127	13	102	41	79	131	67	226	63	60	107	0	89	325	63	16	38	73	16	60	17					
7	Число избирательных бюллетеней в переносных ящиках	470	51	79	6	15	71	0	3	0	0	14	23	43	28	30	19	0	13	11	0	0	15	0	5	0	44	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8672	599	814	371	495	695	115	100	231	96	455	187	223	259	282	551	313	166	371	87	362	597	134	77	255	186	95	442	114					
9	Число недействительных избирательных бюллетеней	116	6	10	4	3	7	3	2	7	1	1	8	3	7	4	8	3	2	12	0	3	6	0	0	3	3	1	7	2					
10	Число действительных избирательных бюллетеней	9026	644	883	373	507	759	112	101	224	95	468	202	263	280	308	562	310	177	370	87	359	606	134	82	252	227	94	435	112					
11	Число полученных открепительных  удостоверений	193	13	15	7	10	19	5	5	3	2	10	7	7	4	7	5	5	7	4	5	5	7	7	5	5	7	5	7	5					
12	Число выданных открепительных удостоверений	71	10	10	6	8	17	0	0	0	0	1	0	0	0	0	5	0	0	4	0	5	2	1	0	1	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	3	2	1	2	2	1	1	0	1	1	1	1	1	3	4	2	1	2	3	2	2	1	1	3	0	3	1	0					
14	Число неиспользованных открепительных удостоверений	122	3	5	1	2	2	5	5	3	2	9	7	7	4	7	0	5	7	0	5	0	5	6	5	4	7	5	6	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	237	20	21	23	7	20	2	0	2	0	9	10	4	6	12	21	8	4	15	2	7	14	7	4	4	4	3	7	1					
		2.59%	3.08%	2.35%	6.10%	1.37%	2.61%	1.74%	0.00%	0.87%	0.00%	1.92%	4.76%	1.50%	2.09%	3.85%	3.68%	2.56%	2.23%	3.93%	2.30%	1.93%	2.29%	5.22%	4.88%	1.57%	1.74%	3.16%	1.58%	0.88%					
19	. Малышкин Олег Александрович	216	15	18	14	13	21	6	0	2	0	8	2	9	8	6	9	5	6	1	0	5	14	2	3	11	5	5	26	2					
		2.36%	2.31%	2.02%	3.71%	2.55%	2.74%	5.22%	0.00%	0.87%	0.00%	1.71%	0.95%	3.38%	2.79%	1.92%	1.58%	1.60%	3.35%	0.26%	0.00%	1.38%	2.29%	1.49%	3.66%	4.31%	2.17%	5.26%	5.88%	1.75%					
20	. Миронов Сергей Михайлович	94	9	12	5	5	9	0	1	3	0	1	3	0	4	4	8	2	5	6	2	5	5	0	0	1	2	0	0	2					
		1.03%	1.38%	1.34%	1.33%	0.98%	1.17%	0.00%	0.97%	1.30%	0.00%	0.21%	1.43%	0.00%	1.39%	1.28%	1.40%	0.64%	2.79%	1.57%	2.30%	1.38%	0.82%	0.00%	0.00%	0.39%	0.87%	0.00%	0.00%	1.75%					
21	. Путин Владимир Владимирович	5323	377	530	240	300	434	72	40	117	63	306	134	79	169	147	358	228	115	246	70	140	366	96	26	197	94	53	266	60					
		58.23%	58.00%	59.35%	63.66%	58.82%	56.66%	62.61%	38.83%	50.65%	65.62%	65.25%	63.81%	29.70%	58.89%	47.12%	62.81%	72.84%	64.25%	64.40%	80.46%	38.67%	59.80%	71.64%	31.71%	77.25%	40.87%	55.79%	60.18%	52.63%					
22	. Хакамада Ирина Муцуовна	132	12	18	4	8	15	1	2	5	0	3	2	2	5	4	2	7	1	3	0	4	9	1	0	2	10	0	5	7					
		1.44%	1.85%	2.02%	1.06%	1.57%	1.96%	0.87%	1.94%	2.16%	0.00%	0.64%	0.95%	0.75%	1.74%	1.28%	0.35%	2.24%	0.56%	0.79%	0.00%	1.10%	1.47%	0.75%	0.00%	0.78%	4.35%	0.00%	1.13%	6.14%					
23	. Харитонов Николай Михайлович	2862	196	260	75	164	243	23	56	94	32	133	49	155	86	134	156	57	45	93	13	193	198	28	47	35	103	33	122	39					
